Time frequency,Unit of measure,Tenure status,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,"Tenant, rent at reduced price or free",Spain,9.6,11.7,10.8,10.1,10.9,9.0,8.3,11.5,11.0,6.9,9.8,10.3
Annual,Percentage,"Tenant, rent at reduced price or free",European Union - 27 countries (2007-2013),24.8 e,24.8 e,24.8 e,24.0 e,24.8 e,21.3 e,24.0 e,25.0 e,:,:,:,:
Annual,Percentage,"Tenant, rent at reduced price or free",European Union - 27 countries (from 2020),27.2 e,27.0 e,27.1 e,26.4 e,26.4 e,25.1 e,25.1 e,26.2 e,28.0,25.5,25.1,24.4
Annual,Percentage,"Tenant, rent at reduced price or free",European Union - 28 countries (2013-2020),25.1 e,25.0 e,25.0 e,24.2 e,24.9 e,21.5 e,24.2 e,25.3 e,:,:,:,:
Annual,Percentage,"Tenant, rent at reduced price or free",Finland,14.7,18.5,18.5,16.3,15.6,15.8,20.4,19.1,20.1,19.4,21.6,19.3
Annual,Percentage,"Tenant, rent at reduced price or free",France,15.0,14.1,12.5,14.4,14.1,15.8,16.3,15.3,23.9 b,22.0,22.3 b,22.8
Annual,Percentage,"Tenant, rent at reduced price or free",Croatia,60.6,55.3,48.9,55.0,52.0,53.6,56.6,58.5,54.4,47.8,44.8,44.5
Annual,Percentage,"Tenant, rent at reduced price or free",Hungary,62.3,62.7,63.6,54.9,61.2,58.0,31.9 b,36.7,37.0,39.7,33.4,29.0
Annual,Percentage,"Tenant, rent at reduced price or free",Ireland,9.7,6.6,10.6,13.7,12.0,8.5,8.5,9.6 b,7.3 b,7.0,9.2,5.9
Annual,Percentage,"Tenant, rent at reduced price or free",Iceland,17.6,19.2,15.1,20.9,16.9,20.1,30.5,27.5,:,:,:,:
Annual,Percentage,"Tenant, rent at reduced price or free",Italy,37.5,38.7,39.0,36.8,36.4,34.7,36.2,38.4,36.2,38.5,34.1,34.0
Annual,Percentage,"Tenant, rent at reduced price or free",Lithuania,36.3,39.3 b,41.9,44.3,40.2,42.6,38.2,39.3,35.2,39.6,32.9,39.5
Annual,Percentage,"Tenant, rent at reduced price or free",Luxembourg,16.2,19.0,15.2,10.9,13.3 b,15.1,17.2,13.6,11.8 b,12.4 b,11.3 b,10.0
Annual,Percentage,"Tenant, rent at reduced price or free",Latvia,43.8,46.0,47.0,53.7,56.5,52.3,59.0,55.9,58.7,56.1,58.3,59.4
Annual,Percentage,"Tenant, rent at reduced price or free",Montenegro,:,50.3,68.1,67.8,66.9,70.2,75.2,75.0,69.9,74.1,77.9,:
Annual,Percentage,"Tenant, rent at reduced price or free",North Macedonia,50.8,63.2,58.4 b,66.1,65.7,57.5,57.6,52.8,54.2,:,:,:
Annual,Percentage,"Tenant, rent at reduced price or free",Malta,8.1,9.6,8.1,9.1,6.8,8.3,10.5,13.6,11.9,5.2,5.4,3.5
Annual,Percentage,"Tenant, rent at reduced price or free",Netherlands,6.2,0.0,6.0,0.0,13.2 b,12.3,15.3,7.7,18.2,10.4,8.0,8.9
Annual,Percentage,"Tenant, rent at reduced price or free",Norway,17.0,21.0,13.7,13.4,14.2,12.2,23.9,23.4,28.5,20.2 b,15.5,8.7
Annual,Percentage,"Tenant, rent at reduced price or free",Poland,69.6,67.8,68.7,66.5,64.6,63.7,63.9,63.4,60.6 b,62.3,65.6,62.2 b
Annual,Percentage,"Tenant, rent at reduced price or free",Portugal,16.7,21.4,18.4,19.2,17.6,17.1,17.7,17.6,12.7,15.3,14.9,24.5
Annual,Percentage,"Tenant, rent at reduced price or free",Romania,64.9,60.7,73.8,63.5,62.3,51.5,54.0,55.3,59.8,43.2,52.5,46.8
Annual,Percentage,"Tenant, rent at reduced price or free",Serbia,:,60.8,57.1,59.9,61.5,63.0,63.2,61.2,62.4,62.0,66.7,:
Annual,Percentage,"Tenant, rent at reduced price or free",Sweden,6.6 u,28.3 u,10.5 u,6.9 u,28.5,18.4,29.9,36.5,16.6,21.6,17.9,26.7
Annual,Percentage,"Tenant, rent at reduced price or free",Slovenia,21.3,20.7,19.8,19.8,17.0,18.7,18.1,16.7,16.4,15.2,16.7,18.4
Annual,Percentage,"Tenant, rent at reduced price or free",Slovakia,57.1,65.7,58.9,56.9,56.5,51.1,45.4,46.9,44.9,59.5,58.2,53.3
Annual,Percentage,"Tenant, rent at reduced price or free",Türkiye,45.3,45.3,45.6,44.3,44.7,45.1,43.7,41.7,41.9,41.5,41.7,41.2
Annual,Percentage,"Tenant, rent at reduced price or free",United Kingdom,16.6 b,17.5,16.7,16.0,19.7,8.4 b,13.6,:,:,:,:,:
Annual,Percentage,"Tenant, rent at market price",Albania,:,:,:,:,:,71.1,74.0,76.1,77.0,77.9,:,:
Annual,Percentage,"Tenant, rent at market price",Austria,31.2,30.4,34.2,32.1,32.5,32.8,31.2,30.6,30.6,27.4,28.3,30.1
Annual,Percentage,"Tenant, rent at market price",Belgium,5.1,6.7,7.4,4.5,10.2 b,16.0,17.2,17.4 b,18.1,16.9,17.2,14.8
Annual,Percentage,"Tenant, rent at market price",Bulgaria,69.6,72.0,71.0,82.0,77.3 b,71.2,75.6,67.2,76.1,64.1,65.1,65.4
Annual,Percentage,"Tenant, rent at market price",Switzerland,9.3,10.9,11.5 b,10.1,10.7,10.3,10.2,10.6,9.9,8.6,9.0,11.5
Annual,Percentage,"Tenant, rent at market price",Cyprus,6.8,4.5,5.6,3.3,3.7,4.7,6.7,6.2,6.6,7.2,5.9,8.0
Annual,Percentage,"Tenant, rent at market price",Czechia,42.3,40.8,42.4,40.9,42.5,38.3,36.8,35.3,35.6,36.4,34.0,37.5
Annual,Percentage,"Tenant, rent at market price",Germany,11.7,12.0,11.5,11.8,12.2,12.3,12.5,13.0,16.9 b,18.2,18.2,18.7
