Time frequency,Economical indicator for structural business statistics,Enterprise,Enterprise group identification,Geopolitical entity (reporting)\Time,2007.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),European Union (aggregate changing according to the context),: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Finland,13.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Ireland,8.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Netherlands,32 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Norway,18.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Portugal,: @C
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Sweden,86 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),Slovenia,2.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,Subsidiary with global group head in extra-EU27 (2007-2013),United Kingdom,0.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Czechia,67 p
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Germany,717.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Denmark,106.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),European Union (aggregate changing according to the context),2200 u
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Finland,93.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Ireland,40.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Italy,381.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Netherlands,209.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Norway,35.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Portugal,99.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Sweden,272.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),Slovenia,42.0
Annual,Enterprises - number,Enterprises with no current international sourcing but with future plans to do so,All enterprises (enterprise group + not enterprise group),United Kingdom,174.0
