Time frequency,Income and living conditions indicator,Unit of measure,Type of household,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Ireland,12.4,11.6,10.6,9.6,12.2,10.3,10.4,10.2 b,8.0 b,5.9,5.1,4.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Iceland,7.1,8.7,4.8,6.5,8.4,8.1,8.1,7.1,:,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Italy,12.6,14.1,14.9,15.5,17.3,14.8,13.2,16.0,13.6,13.3,16.3,14.6
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Lithuania,16.3,15.0,12.7,15.4,15.5,12.3,13.8,11.2,10.2,10.0,10.3,14.1
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Luxembourg,7.1,6.4,8.9,7.5,10.7 b,12.7,9.2,9.6,11.2 b,11.0 b,8.6 b,10.9
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Latvia,18.8,18.7,16.7,18.6,19.9,18.7,17.0,16.0,14.5,14.2,17.5,17.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Montenegro,:,19.8,13.2,16.4,13.7,13.0,15.1,14.9,15.0,16.9,12.8,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,North Macedonia,22.7,20.3,23.2,19.4,23.0,15.3,17.9,18.0,18.4,:,:,:
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Malta,11.4,10.3,10.0,11.4,11.4,11.4,11.6,11.0,8.9,11.0,10.0,7.2
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Netherlands,5.1,6.5,8.8,10.3,8.6 b,6.9,8.0,7.3,8.8,7.2,8.5,7.3
Annual,At risk of poverty rate (cut-off point: 60% of median equivalised income after social transfers),Percentage,Two adults younger than 65 years,Norway,6.9,6.4,5.7,6.9,7.1,6.2,7.3,7.1,4.8,7.3 b,6.8,4.4 b
