Time frequency,Income and living conditions indicator,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Males,United Kingdom,8.1,7.0,5.7,6.3,8.9,6.7 b,8.0,:,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Albania,:,:,:,:,:,:,:,:,15.9,13.2,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Austria,8.7,8.9,8.5,8.8,8.1,9.1,10.2,8.3,8.2,9.3,9.5,10.2
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Belgium,9.9,8.7,9.5,9.8,9.8,11.0,10.2,10.4 b,9.0,9.2,9.0,8.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Bulgaria,12.9,13.4,16.5,16.2,15.3 b,15.9,15.9,16.1,17.3,17.1,16.8,15.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Switzerland,:,7.7,6.5,6.1,7.0,8.3 b,8.8,8.4,8.3,10.2,6.7,7.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Cyprus,8.3,10.0,7.3,7.3,7.6,6.6,7.1,8.8,8.7,9.2,8.1,9.0
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Czechia,4.3,4.1,3.4,4.5,4.3,4.4,6.3,5.7,3.9,4.5,6.7,4.9
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Germany,10.4,10.6,9.5,11.3,10.5,11.6,10.5,10.6,9.8,:,:,5.3 b
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Denmark,5.7,5.1,5.3,4.3,7.2,5.5,4.7,5.9,6.9 b,6.3,6.9,5.8
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Euro area - 19 countries  (2015-2022),10.4,10.4,10.6,11.6,11.2,11.5 e,11.4,11.3,11.1,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,10.4 e,10.6 e,9.2 e
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Estonia,12.0,9.3,11.2 b,13.1,13.5,16.1,15.6,16.7,13.8,14.3,15.3,14.5
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Greece,13.8,12.4,14.5,13.3,15.2,14.0,12.5,11.8,11.8,12.5,12.0,12.1
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,Spain,13.3,12.1,14.3,15.8,14.8,14.7,14.0,15.1,17.7,12.5,12.6,11.3
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,European Union - 27 countries (2007-2013),10.3,10.0,10.3,10.9,10.9,10.8 e,10.9,10.7 e,:,:,:,:
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,European Union - 27 countries (from 2020),10.6 e,10.4 e,10.9 e,11.5 e,11.2 e,11.3 e,11.3 e,11.0 e,10.7,10.4 e,10.5 e,9.3 e
Annual,At persistent risk of poverty rate by age and gender (cut-off point: 60% of median equivalised income),Percentage,Total,Total,European Union - 28 countries (2013-2020),10.3 e,10.0,10.3,10.9,11.0,10.8 e,11.0,10.7 e,:,:,:,:
