Time frequency,Unit of measure,Rail network Segment (2015),Train category\Time,2015.0
Annual,Number,¿apjane DG - ¿apjane,Passenger trains,774.0
Annual,Number,Vukovar Borovo Naselje - Vinkovci,Goods trains,456.0
Annual,Number,Vukovar Borovo Naselje - Vinkovci,Passenger trains,1517.0
Annual,Number,Vukovar - Vukovar Borovo Naselje,Goods trains,406.0
Annual,Number,Vukovar - Vukovar Borovo Naselje,Passenger trains,1516.0
Annual,Number,Bakar - ¿krljevo,Goods trains,2534.0
Annual,Number,Bakar - ¿krljevo,Passenger trains,0.0
Annual,Number,Rijeka Brajdica - Su¿ak Pecine,Goods trains,867.0
Annual,Number,Rijeka Brajdica - Su¿ak Pecine,Passenger trains,0.0
Annual,Number,Volinja - Sunja,Goods trains,345.0
Annual,Number,Volinja - Sunja,Passenger trains,1479.0
Annual,Number,Volinja DG - Volinja,Goods trains,332.0
Annual,Number,Volinja DG - Volinja,Passenger trains,366.0
Annual,Number,Dalj - Vukovar Borovo Naselje,Goods trains,49.0
Annual,Number,Dalj - Vukovar Borovo Naselje,Passenger trains,0.0
Annual,Number,Erdut - Dalj,Goods trains,55.0
Annual,Number,Erdut - Dalj,Passenger trains,494.0
Annual,Number,Erdut DG - Erdut,Goods trains,31.0
Annual,Number,Erdut DG - Erdut,Passenger trains,26.0
Annual,Number,Cakovec - Vara¿din,Goods trains,200.0
Annual,Number,Cakovec - Vara¿din,Passenger trains,6058.0
