Time frequency,Unit of measure,Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,Total,From 55 to 64 years,Greece,:,: u
Annual,Percentage,Total,From 55 to 64 years,Spain,:,27.3 u
Annual,Percentage,Total,From 55 to 64 years,European Union - 27 countries (from 2020),:,30.7
Annual,Percentage,Total,From 55 to 64 years,Finland,:,: u
Annual,Percentage,Total,From 55 to 64 years,France,:,36.4 u
Annual,Percentage,Total,From 55 to 64 years,Croatia,:,28.0 u
Annual,Percentage,Total,From 55 to 64 years,Hungary,:,: u
Annual,Percentage,Total,From 55 to 64 years,Ireland,:,45.2 u
Annual,Percentage,Total,From 55 to 64 years,Iceland,:,: u
Annual,Percentage,Total,From 55 to 64 years,Italy,:,32.2
Annual,Percentage,Total,From 55 to 64 years,Lithuania,:,3.7 u
Annual,Percentage,Total,From 55 to 64 years,Luxembourg,:,: u
Annual,Percentage,Total,From 55 to 64 years,Latvia,:,: u
Annual,Percentage,Total,From 55 to 64 years,Malta,:,: u
Annual,Percentage,Total,From 55 to 64 years,Netherlands,:,30.7 u
Annual,Percentage,Total,From 55 to 64 years,Norway,:,: u
Annual,Percentage,Total,From 55 to 64 years,Poland,:,21.7
Annual,Percentage,Total,From 55 to 64 years,Portugal,:,14.1
Annual,Percentage,Total,From 55 to 64 years,Romania,:,11.2 u
Annual,Percentage,Total,From 55 to 64 years,Serbia,:,15.5 u
Annual,Percentage,Total,From 55 to 64 years,Sweden,:,: u
Annual,Percentage,Total,From 55 to 64 years,Slovenia,:,21.0 u
Annual,Percentage,Total,From 55 to 64 years,Slovakia,:,19.6 u
Annual,Percentage,Total,From 55 to 64 years,Türkiye,:,12.0 u
Annual,Percentage,Total,From 65 to 74 years,Austria,19.0 u,25.9
Annual,Percentage,Total,From 65 to 74 years,Belgium,57.9,74.8
Annual,Percentage,Total,From 65 to 74 years,Bulgaria,18.8,21.2
Annual,Percentage,Total,From 65 to 74 years,Cyprus,: u,22.1 u
Annual,Percentage,Total,From 65 to 74 years,Czechia,23.3,14.8
Annual,Percentage,Total,From 65 to 74 years,Germany,38.2,48.2
Annual,Percentage,Total,From 65 to 74 years,Denmark,: u,: u
Annual,Percentage,Total,From 65 to 74 years,Estonia,20.7 u,4.8 u
Annual,Percentage,Total,From 65 to 74 years,Greece,33.9,37.7 u
Annual,Percentage,Total,From 65 to 74 years,Spain,26.8,43.1
Annual,Percentage,Total,From 65 to 74 years,European Union - 27 countries (from 2020),37.4,38.9
Annual,Percentage,Total,From 65 to 74 years,European Union - 28 countries (2013-2020),35.9,:
Annual,Percentage,Total,From 65 to 74 years,Finland,: u,41.0 u
Annual,Percentage,Total,From 65 to 74 years,France,54.4 u,45.4
Annual,Percentage,Total,From 65 to 74 years,Croatia,25.1 u,50.3
Annual,Percentage,Total,From 65 to 74 years,Hungary,36.4 u,22.6 u
Annual,Percentage,Total,From 65 to 74 years,Ireland,38.4 u,48.9 u
Annual,Percentage,Total,From 65 to 74 years,Iceland,: u,: u
Annual,Percentage,Total,From 65 to 74 years,Italy,46.9,45.3
Annual,Percentage,Total,From 65 to 74 years,Lithuania,28.2 u,20.9 u
Annual,Percentage,Total,From 65 to 74 years,Luxembourg,: u,: u
Annual,Percentage,Total,From 65 to 74 years,Latvia,27.0 u,29.0 u
Annual,Percentage,Total,From 65 to 74 years,Malta,: u,: u
Annual,Percentage,Total,From 65 to 74 years,Netherlands,48.3,56.7 u
Annual,Percentage,Total,From 65 to 74 years,Norway,: u,: u
Annual,Percentage,Total,From 65 to 74 years,Poland,29.3,19.6
Annual,Percentage,Total,From 65 to 74 years,Portugal,21.8,16.6
Annual,Percentage,Total,From 65 to 74 years,Romania,30.5,11.5
Annual,Percentage,Total,From 65 to 74 years,Serbia,:,20.3
Annual,Percentage,Total,From 65 to 74 years,Sweden,: u,: u
Annual,Percentage,Total,From 65 to 74 years,Slovenia,27.5 u,14.9 u
Annual,Percentage,Total,From 65 to 74 years,Slovakia,30.7 u,13.3 u
Annual,Percentage,Total,From 65 to 74 years,Türkiye,5.9,8.5
Annual,Percentage,Total,From 65 to 74 years,United Kingdom,26.9,:
Annual,Percentage,Total,55 years or over,Austria,:,48.7
Annual,Percentage,Total,55 years or over,Belgium,:,72.6
Annual,Percentage,Total,55 years or over,Bulgaria,:,25.8
Annual,Percentage,Total,55 years or over,Cyprus,:,47.9
Annual,Percentage,Total,55 years or over,Czechia,:,25.3
Annual,Percentage,Total,55 years or over,Germany,:,52.2
Annual,Percentage,Total,55 years or over,Denmark,:,73.3
Annual,Percentage,Total,55 years or over,Estonia,:,12.6
Annual,Percentage,Total,55 years or over,Greece,:,37.0
Annual,Percentage,Total,55 years or over,Spain,:,49.9
Annual,Percentage,Total,55 years or over,European Union - 27 countries (from 2020),:,47.2
Annual,Percentage,Total,55 years or over,Finland,:,54.2
Annual,Percentage,Total,55 years or over,France,:,60.4
Annual,Percentage,Total,55 years or over,Croatia,:,43.9
Annual,Percentage,Total,55 years or over,Hungary,:,34.4
Annual,Percentage,Total,55 years or over,Ireland,:,62.1
Annual,Percentage,Total,55 years or over,Iceland,:,50.5 u
Annual,Percentage,Total,55 years or over,Italy,:,51.1
Annual,Percentage,Total,55 years or over,Lithuania,:,23.5
Annual,Percentage,Total,55 years or over,Luxembourg,:,57.1 u
Annual,Percentage,Total,55 years or over,Latvia,:,27.8
