Time frequency,Geopolitical entity (partner),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Total,Number,Portugal,53786.0,49572.0,40377 e,38273 e,31753 e,31600.0,28219.0,25886.0,25079.0,30954.0
Annual,Total,Number,Romania,161755 e,172871 e,194718 e,207578 e,242193 e,231661 e,233736 e,186818 e,216861.0,202311 e
Annual,Total,Number,Sweden,50715.0,51237.0,55830.0,45878.0,45620.0,46981.0,47718.0,48937.0,48284.0,50592.0
Annual,Total,Number,Slovenia,13384.0,14336.0,14913.0,15572.0,17555.0,13527.0,15106.0,17745.0,21144.0,20956.0
Annual,Total,Number,Slovakia,2770.0,3644.0,3870.0,3801.0,3466.0,3298.0,3384.0,2428.0,3395.0,4468.0
Annual,Total,Number,Türkiye,:,:,:,:,:,:,:,:,:,466914.0
Annual,Total,Number,Ukraine,:,:,:,:,:,:,:,19121.0,22587.0,:
Annual,Total,Number,United Kingdom,316934.0,319086.0,299183.0,340440.0,359665.0,344347 p,368385.0,:,:,:
Annual,Unknown,Number,Austria,0.0,0.0,5702.0,5751.0,5813.0,11224.0,11375.0,5334.0,4596.0,6001.0
Annual,Unknown,Number,Belgium,469.0,543.0,491.0,464.0,406.0,314.0,803.0,354.0,358.0,353.0
Annual,Unknown,Number,Bulgaria,10 p,15 p,6 p,5 p,8 p,0 p,0 p,0 p,0.0,0.0
Annual,Unknown,Number,Switzerland,14181.0,13049.0,12498.0,13355.0,13513.0,14035.0,12540.0,11641.0,11802.0,12933.0
Annual,Unknown,Number,Cyprus,:,:,:,:,:,:,:,:,:,0.0
Annual,Unknown,Number,Czechia,0 b,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Germany,1590 e,7179 e,4866 e,119301 e,99319 e,67131 e,64811 e,47584 e,56106 e,50354 e
Annual,Unknown,Number,Denmark,779.0,653.0,685.0,5501.0,7225.0,8448.0,13986.0,11827.0,7037.0,9592.0
Annual,Unknown,Number,Estonia,0.0,0.0,607 be,523.0,602.0,6.0,46.0,14.0,12.0,0.0
Annual,Unknown,Number,Greece,0.0,0 b,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0
Annual,Unknown,Number,Spain,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455921 b,374032.0
Annual,Unknown,Number,European Union - 27 countries (from 2020),10311 ep,17369 ep,25210 bep,137845 ep,119182 ep,96646 ep,100400 ep,:,:,446099 ep
Annual,Unknown,Number,Finland,304.0,260.0,521.0,552.0,629.0,1801.0,657.0,533.0,276.0,352.0
Annual,Unknown,Number,France,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0 p,0 p
Annual,Unknown,Number,Croatia,899.0,1270.0,138.0,239.0,298.0,343.0,334.0,366.0,398.0,658.0
Annual,Unknown,Number,Hungary,56.0,83.0,53.0,51.0,66.0,35.0,24.0,159.0,14.0,9.0
Annual,Unknown,Number,Ireland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Iceland,68.0,124.0,70.0,71.0,105.0,111.0,79.0,90.0,97.0,116.0
Annual,Unknown,Number,Italy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Liechtenstein,30.0,28.0,24.0,21.0,6.0,18.0,17.0,10.0,8.0,11.0
Annual,Unknown,Number,Lithuania,0.0,2.0,0.0,1.0,2.0,2.0,2.0,1.0,3.0,1.0
Annual,Unknown,Number,Luxembourg,0 e,0.0,0.0,0.0,0.0,0.0,0.0,:,:,0.0
Annual,Unknown,Number,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0
Annual,Unknown,Number,Montenegro,:,:,:,:,:,:,:,0.0,:,0.0
Annual,Unknown,Number,North Macedonia,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Netherlands,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Norway,9371.0,142.0,2.0,24.0,172.0,493.0,82.0,121.0,231.0,295.0
Annual,Unknown,Number,Poland,29.0,40 ep,0 ep,0 ep,0 ep,0 ep,0 ep,3 ep,1.0,3.0
Annual,Unknown,Number,Portugal,1622 e,58 e,0 e,164 e,0 e,0.0,0.0,0.0,1378.0,537.0
Annual,Unknown,Number,Romania,0 e,0 e,0 e,19 e,7 e,2401 e,2557 e,5090 e,1157.0,66 e
Annual,Unknown,Number,Sweden,4301.0,7151.0,12039.0,5274.0,4807.0,4941.0,5805.0,8170.0,5056.0,4141.0
Annual,Unknown,Number,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Unknown,Number,Ukraine,:,:,:,:,:,:,:,0.0,0.0,:
Annual,Unknown,Number,United Kingdom,0.0,0.0,0.0,0.0,0.0,0 p,0.0,:,:,:
