Time frequency,Unit of measure,Age class,Type of household,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,65 years or over,Other,Sweden,38.6 u,53.9 u
Annual,Percentage,65 years or over,Other,Slovenia,39.2,27.9
Annual,Percentage,65 years or over,Other,Slovakia,23.2 u,22.5
Annual,Percentage,65 years or over,Other,Türkiye,9.0,11.7
Annual,Percentage,65 years or over,Other,United Kingdom,35.3,:
Annual,Percentage,65 years or over,Total,Austria,36.3,51.3
Annual,Percentage,65 years or over,Total,Belgium,55.0,75.5
Annual,Percentage,65 years or over,Total,Bulgaria,23.7,25.9
Annual,Percentage,65 years or over,Total,Cyprus,53.7,49.6
Annual,Percentage,65 years or over,Total,Czechia,35.1,27.1
Annual,Percentage,65 years or over,Total,Germany,46.8,56.0
Annual,Percentage,65 years or over,Total,Denmark,85.9 u,81.8
Annual,Percentage,65 years or over,Total,Estonia,21.2,14.6
Annual,Percentage,65 years or over,Total,Greece,35.8,36.8
Annual,Percentage,65 years or over,Total,Spain,51.0,51.7
Annual,Percentage,65 years or over,Total,European Union - 27 countries (from 2020),49.3,49.5
Annual,Percentage,65 years or over,Total,European Union - 28 countries (2013-2020),48.5,:
Annual,Percentage,65 years or over,Total,Finland,69.4,61.6
Annual,Percentage,65 years or over,Total,France,76.7,64.2
Annual,Percentage,65 years or over,Total,Croatia,28.9,45.1
Annual,Percentage,65 years or over,Total,Hungary,39.4,38.8
Annual,Percentage,65 years or over,Total,Ireland,62.5,66.6
Annual,Percentage,65 years or over,Total,Iceland,64.8 u,:
Annual,Percentage,65 years or over,Total,Italy,52.9,52.1
Annual,Percentage,65 years or over,Total,Lithuania,26.7,26.1
Annual,Percentage,65 years or over,Total,Luxembourg,37.4 u,60.5 u
Annual,Percentage,65 years or over,Total,Latvia,29.4,29.3
Annual,Percentage,65 years or over,Total,Malta,59.7 u,38.1 u
Annual,Percentage,65 years or over,Total,Netherlands,68.3,71.2
Annual,Percentage,65 years or over,Total,Norway,58.1 u,59.1 u
Annual,Percentage,65 years or over,Total,Poland,31.5,34.7
Annual,Percentage,65 years or over,Total,Portugal,30.5,29.4
Annual,Percentage,65 years or over,Total,Romania,24.8,16.9
Annual,Percentage,65 years or over,Total,Serbia,:,29.7
Annual,Percentage,65 years or over,Total,Sweden,48.0 u,52.9
Annual,Percentage,65 years or over,Total,Slovenia,41.2,29.5
Annual,Percentage,65 years or over,Total,Slovakia,30.4,24.7
Annual,Percentage,65 years or over,Total,Türkiye,8.8,10.5
Annual,Percentage,65 years or over,Total,United Kingdom,38.5,:
Annual,Percentage,75 years or over,Single person,Austria,46.5 u,62.1
Annual,Percentage,75 years or over,Single person,Belgium,56.6,82.4
Annual,Percentage,75 years or over,Single person,Bulgaria,36.3,36.9
Annual,Percentage,75 years or over,Single person,Cyprus,: u,22.5 u
Annual,Percentage,75 years or over,Single person,Czechia,48.2,42.5
Annual,Percentage,75 years or over,Single person,Germany,54.0,62.3
Annual,Percentage,75 years or over,Single person,Denmark,94.4 u,93.5 u
Annual,Percentage,75 years or over,Single person,Estonia,26.4,25.7 u
Annual,Percentage,75 years or over,Single person,Greece,41.1,32.3
Annual,Percentage,75 years or over,Single person,Spain,57.7,61.0
Annual,Percentage,75 years or over,Single person,European Union - 27 countries (from 2020),59.1,58.8
Annual,Percentage,75 years or over,Single person,European Union - 28 countries (2013-2020),58.7,:
Annual,Percentage,75 years or over,Single person,Finland,78.2 u,87.2 u
Annual,Percentage,75 years or over,Single person,France,80.5,71.7
Annual,Percentage,75 years or over,Single person,Croatia,40.6 u,48.2 u
Annual,Percentage,75 years or over,Single person,Hungary,54.6 u,64.0 u
Annual,Percentage,75 years or over,Single person,Ireland,80.6,72.5 u
Annual,Percentage,75 years or over,Single person,Iceland,: u,: u
Annual,Percentage,75 years or over,Single person,Italy,60.0,58.7
Annual,Percentage,75 years or over,Single person,Lithuania,29.9,33.6
Annual,Percentage,75 years or over,Single person,Luxembourg,: u,: u
