Time frequency,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2010.0,2015.0,2020.0
Annual,From 65 to 74 years,Percentage of households,Greece,16.5,17.9,18.5 i
Annual,From 65 to 74 years,Percentage of households,Spain,13.3,14.4,15.5 i
Annual,From 65 to 74 years,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,15.1 i,16.5 i
Annual,From 65 to 74 years,Percentage of households,European Union - 27 countries (from 2020),:,15.1 i,16.5 i
Annual,From 65 to 74 years,Percentage of households,Finland,14.8,16.0,:
Annual,From 65 to 74 years,Percentage of households,France,12.6,15.9,17.2 i
Annual,From 65 to 74 years,Percentage of households,Croatia,16.9,16.8,19 i
Annual,From 65 to 74 years,Percentage of households,Hungary,14.7,16.1,19.4 i
Annual,From 65 to 74 years,Percentage of households,Ireland,12.4,14.0,:
Annual,From 65 to 74 years,Percentage of households,Italy,15.5,:,:
Annual,From 65 to 74 years,Percentage of households,Lithuania,15.2,15.4,15.9 i
Annual,From 65 to 74 years,Percentage of households,Luxembourg,12.7,13.7,11.5 i
Annual,From 65 to 74 years,Percentage of households,Latvia,16.9,16.3,18 i
Annual,From 65 to 74 years,Percentage of households,Malta,15.5,19.0,17.7 i
Annual,From 65 to 74 years,Percentage of households,Netherlands,:,14.4,15.4 i
Annual,From 65 to 74 years,Percentage of households,Poland,12.4,15.3,19.7 i
Annual,From 65 to 74 years,Percentage of households,Portugal,15.2,16.4,:
Annual,From 65 to 74 years,Percentage of households,Romania,15.2,15.4,18.8 i
Annual,From 65 to 74 years,Percentage of households,Sweden,12.5,14.2,:
Annual,From 65 to 74 years,Percentage of households,Slovenia,14.1,15.9,16.8 i
Annual,From 65 to 74 years,Percentage of households,Slovakia,16.0,17.0,19.2 i
Annual,From 65 to 74 years,Percentage of households,United Kingdom,13.6,14.6,:
Annual,70 years or over,Percentage of households,Austria,20.5,21.2,20.1 i
Annual,70 years or over,Percentage of households,Belgium,19.3,19.8,21.9 i
Annual,70 years or over,Percentage of households,Bulgaria,:,25.6,27.3 i
Annual,70 years or over,Percentage of households,Cyprus,17.3,17.8,20.6 i
Annual,70 years or over,Percentage of households,Czechia,19.6,22.2,24.1 i
Annual,70 years or over,Percentage of households,Germany,17.8,21.8 i,21.7 i
Annual,70 years or over,Percentage of households,Denmark,17.5,20.7,22.6 i
Annual,70 years or over,Percentage of households,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,22.4 i,23.5 i
Annual,70 years or over,Percentage of households,Euro area – 20 countries (from 2023),:,22.4 i,23.5 i
Annual,70 years or over,Percentage of households,Estonia,21.9,21.1 i,22.4 i
Annual,70 years or over,Percentage of households,Greece,24.4,27.1,29.4 i
Annual,70 years or over,Percentage of households,Spain,20.7,23.1,24.8 i
Annual,70 years or over,Percentage of households,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,22 i,23.4 i
Annual,70 years or over,Percentage of households,European Union - 27 countries (from 2020),:,21.8 i,23.4 i
Annual,70 years or over,Percentage of households,Finland,20.1,22.2,:
Annual,70 years or over,Percentage of households,France,21.9,23.5,26 i
Annual,70 years or over,Percentage of households,Croatia,26.1,25.7,26.7 i
Annual,70 years or over,Percentage of households,Hungary,19.8,21.1,21.6 i
Annual,70 years or over,Percentage of households,Ireland,16.5,17.7,:
Annual,70 years or over,Percentage of households,Italy,28.1,:,:
Annual,70 years or over,Percentage of households,Lithuania,21.7,24.0,23 i
Annual,70 years or over,Percentage of households,Luxembourg,15.6,15.3,13.3 i
Annual,70 years or over,Percentage of households,Latvia,23.9,24.1,23.8 i
Annual,70 years or over,Percentage of households,Malta,20.5,21.6,24 i
Annual,70 years or over,Percentage of households,Netherlands,:,19.3,21.9 i
Annual,70 years or over,Percentage of households,Poland,19.3,18.6,21.8 i
Annual,70 years or over,Percentage of households,Portugal,23.7,25.4,:
Annual,70 years or over,Percentage of households,Romania,22.9,22.6,24 i
Annual,70 years or over,Percentage of households,Sweden,19.3,20.3,:
Annual,70 years or over,Percentage of households,Slovenia,20.7,21.0,22.4 i
Annual,70 years or over,Percentage of households,Slovakia,18.6,17.6,19.8 i
Annual,70 years or over,Percentage of households,United Kingdom,20.1,20.2,:
Annual,75 years or over,Percentage of households,Austria,13.1,14.6,13.2 i
Annual,75 years or over,Percentage of households,Belgium,13.8,14.3,14.7 i
Annual,75 years or over,Percentage of households,Bulgaria,:,17.1,18 i
Annual,75 years or over,Percentage of households,Cyprus,11.3,11.9,13.8 i
Annual,75 years or over,Percentage of households,Czechia,13.4,13.9,14.8 i
