Time frequency,Country/region of birth,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Sweden,17.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Slovenia,8.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Males,Percentage,Slovakia,2.8 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Austria,14.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Belgium,8.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Bulgaria,4.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Cyprus,4.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Czechia,8.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Germany,7.8
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Denmark,11.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Euro area – 20 countries (from 2023),11.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Estonia,8.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Greece,10.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Spain,17.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,European Union - 27 countries (from 2020),11.3
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Finland,12.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,France,17.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Croatia,6.9 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Hungary,0.0 n
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Ireland,13.5 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Italy,5.9
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Lithuania,10.6 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Luxembourg,12.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Latvia,6.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Malta,6.0
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Netherlands,14.4
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Norway,17.5
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Poland,2.3 u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Portugal,10.2
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Romania,: u
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Sweden,14.1
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Slovenia,7.7
Annual,Non-EU27 countries (from 2020) nor reporting country,Total,Percentage,Slovakia,5.7
