Time frequency,Unit of measure,Consolidated/Non consolidated,National accounts indicator (ESA 2010),Financial position,Sector,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.7,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.1 p,0.1 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Spain,0.4,0.4,0.3,0.4,0.5,0.4,0.4,0.3,0.4,0.4,0.5,0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.6,0.6,0.5,0.5,0.4,0.4,0.4,0.5,0.4,0.4 p,0.3 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Finland,1.4,1.0,1.0,1.0,1.0,0.9,0.9,1.0,1.0,1.0,1.1,1.1,1.1,1.1,1.1,1.2,1.2,1.2,1.2,1.0,1.0,1.0,0.9,0.9,0.8,0.8,0.7,0.7,0.7
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,France,0.4,0.4,0.4,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.6,0.7,0.7,0.7,0.8,0.8,0.9,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.9,0.8,0.7 p,0.7 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Croatia,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Hungary,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0 p
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.1,1.1,1.0,0.7,0.7,0.6,0.6,0.5,0.4,0.3,0.3,0.4
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Italy,0.9,0.8,0.8,0.5,0.5,0.5,0.5,0.5,0.4,0.4,0.5,0.5,0.5,0.5,0.5,0.6,0.6,0.6,0.6,0.6,0.6,0.5,0.5,0.4,0.4,0.5,0.4,0.4,0.3
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Lithuania,0.4,0.3,0.2,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Luxembourg,0.6,0.5,0.5,0.5,0.6,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.5,0.5,0.6,0.6,0.5,0.4,0.3,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Latvia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.2,0.2,0.2,0.2,0.4,0.4,0.4,0.2,0.2,0.2,0.4,0.4,0.3,0.3,0.3,0.3,0.3,0.3,0.2
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Malta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 e,0.0 e,0.5,0.5,0.5,0.5,0.5,0.4,0.5,0.3,0.1,0.1
Annual,Percentage of gross domestic product (GDP),Consolidated,Loans,Liabilities,Non-profit institutions serving households,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.2,0.2,0.5,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.4,0.4 p
