Time frequency,Unit of measure,Statistical classification of economic activities in the European Community (NACE Rev. 2),Country of residence,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Austria,109540720.0,110687373.0,110440776.0,113365901.0,117957253.0,121126543.0,125229170.0,127890554.0,79133399.0,66708839.0,115062696.0,127765910.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Belgium,31267441.0,31448180.0,32605681.0,38380415.0,36855214.0,38677308.0,41320284.0,42512847.0,20177486.0,29220847.0,43024124.0,44696602.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Bulgaria,20252038.0,21617474.0,21698391.0,21397816.0,25185996.0,26054096.0,26845013.0,27154791.0,11968483.0,17620268.0,24173291.0,26865046.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Switzerland,:,:,:,:,50397026.0,53283316.0,55357179.0,56235101.0,:,45884489.0,55640095.0,59311203.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Cyprus,14576573.0,14048529.0,13715342.0,13374838.0,15348884.0,16780913.0,17164182.0,17573684.0,3725254.0,9741618.0,14252434.0,15636125.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Czechia,43278457.0,43308279.0,42946929.0,47093906.0,49696957.0,53219395.0,55513922.0,57024767.0,31382494.0,31924242.0,50599312.0,55842471.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Germany,350349425.0,354871005.0,366527398.0,378048084.0,388851871.0,401163218.0,419556284.0,436954848.0,260757872.0,266102654.0,400409055.0,431439035.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Denmark,28040235.0,28500837.0,29646899.0,30809340.0,31896347.0,32157794.0,33280905.0,34325730.0,23670530.0,28556054.0,38439848.0,38946106.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Euro area - 19 countries  (2015-2022),:,:,:,2137778361 e,2210193186 e,:,2394848047 e,2445830672 e,1194067713 e,1532671222.0,2342729465.0,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,2432734848.0,2605214140.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Estonia,5544537.0,5734033.0,5809464.0,5781870.0,6228128.0,6509299.0,6630315.0,6967047.0,3674012.0,3998997.0,5950873.0,6374862.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Greece,80566670 e,89105443.0,100763472.0,106064266.0,110020042.0,119009014.0,142940411.0,143594467.0,38475016.0,73886813.0,132745904.0,147217679.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Spain,382670975.0,389211984.0,403963023.0,422226376.0,454957250.0,471199729.0,466912807.0,469814273.0,144676192.0,259579617.0,451624940.0,484987847.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,European Union - 27 countries (from 2020),3517374556.0,3567380726.0,2385679467.0,2486252875 e,2585990425 e,2718605123 e,2811064150 e,2875121917 e,1422095439 e,1833618852.0,2754886918.0,2943255619.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Finland,20317582.0,20241057.0,19786022.0,19738123.0,20343433.0,21914154.0,22235084.0,23095660.0,14323682.0,17488715.0,21971266.0,22832061.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,France,401027391.0,408126035.0,402315167.0,410052887.0,404734050.0,433058728.0,442760051.0,446553872.0,257875315 e,324389046 e,449792261.0,460271795.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Croatia,62183925.0,64418292.0,66124991.0,71339000.0,77824114.0,86094847.0,95995433.0,98232015.0,40771344.0,70171684.0,90005383.0,92341148.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Hungary,23169533.0,24426148.0,26053873.0,27542898.0,29291168.0,31608719.0,32830120.0,33199961.0,14598682.0,17370771.0,29446040.0,30488308.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Ireland,28884870 u,28276964 u,29166381 e,29707674 e,31105668 e,:,35071047 u,32580822 e,16140254 e,14930451 e,34930829.0,40636151.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Iceland,3719126.0,4280685.0,5489883.0,6536277.0,7808316.0,:,:,8406412.0,3295550.0,5012315.0,8547146.0,9518554.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Italy,380711483.0,376785615.0,377770806.0,392874070.0,402962113.0,420629155.0,428844937.0,436739271.0,208447085.0,289178142.0,412008532.0,447170049.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Liechtenstein,141042.0,135303.0,132272.0,112484.0,130816.0,150624.0,162161.0,177586.0,127503.0,162386.0,:,222266.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Lithuania,5741252.0,6089056.0,6465004.0,6581192.0,6992674.0,7364924.0,8091647.0,8946758.0,4931757.0,5542548.0,8073130.0,8473828.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Luxembourg,2543830.0,2637481.0,2867811.0,3543184.0,3601894.0,2891628.0,3544977.0,3532350.0,1693382.0,2223776.0,3296351.0,3485954.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Latvia,3546736.0,3775192.0,4158418.0,4109910.0,4416597.0,4950929.0,5368739.0,5509682.0,2889342.0,2379777.0,3882922.0,4370854.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Montenegro,9151236.0,:,:,11054947.0,11250005.0,3890370 b,:,:,:,:,:,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,North Macedonia,1459771.0,1499077.0,1519013.0,1640003.0,1695084.0,1975211.0,2211589.0,2294883.0,874339.0,1322284.0,1818886.0,2072926.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Malta,7832229.0,8501147.0,8780948.0,8915297.0,8971191.0,9580328.0,10114196.0,9911282.0,2945184.0,4612959.0,8210424.0,9892292.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Netherlands,84050384.0,96074132.0,99751562.0,103534301.0,106212858.0,111697813.0,116081577.0,123442571.0,87770023.0,101094277.0,132638265.0,142272462.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Norway,29914832.0,29310429.0,30614057.0,31591222.0,32974578.0,:,:,:,23720833.0,27092046.0,36127194.0,37044492.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Poland,62014890.0,62959452.0,66579589.0,71234421.0,79393860.0,83880915.0,88860463.0,93342738.0,51377168.0,62837520.0,89953799.0,92797861.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Portugal,46781091.0,49888259.0,54979437.0,59419938.0,66014226.0,72035786.0,74407596.0,77594254.0,30157800.0,42444419.0,76947985.0,84886830.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Romania,19091379.0,19301768.0,20230245.0,23445286.0,25274649.0,26915573.0,28461153.0,29889894.0,14454464.0,22422471.0,26614221.0,29205568.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Serbia,6359685.0,6368597.0,5954322.0,6619439.0,7502498.0,:,:,:,6197394.0,8156155.0,12245613.0,12440935.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Sweden,48585972.0,49710427.0,52280371.0,55611847.0,57234148.0,58683201.0,60856874.0,63175281.0,39804561.0,50044620.0,62925559.0,63896119.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Slovenia,9406009.0,9471571.0,9470452.0,10224207.0,11057731.0,12460084.0,:,15758691.0,9188303.0,11231780.0,15558665.0,16102802.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Slovakia,10770328.0,11345641.0,10781015.0,12176275.0,13894782.0,14667937.0,15188140.0,17225333.0,9437786.0,7915947.0,12348809.0,14359854.0
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,Türkiye,:,:,:,:,:,:,190686722.0,211287063.0,95323093.0,176033717.0,242522162.0,:
Annual,Number,"Hotels; holiday and other short-stay accommodation; camping grounds, recreational vehicle parks and trailer parks",All countries of the world,United Kingdom,310135542.0,:,454345510.0,465438028.0,476356100.0,:,:,:,:,:,:,:
