Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2012.0,2017.0
Annual,Total,Hectare,20 years or over,Table grape vines,Spain,2105.94,2589.08
Annual,Total,Hectare,20 years or over,Table grape vines,European Union - 27 countries (from 2020),:,15234.19
Annual,Total,Hectare,20 years or over,Table grape vines,European Union - 28 countries (2013-2020),13465.28,15234.19
Annual,Total,Hectare,20 years or over,Table grape vines,France,2616.51,:
Annual,Total,Hectare,20 years or over,Table grape vines,Italy,5274.14,8128.73
Annual,Total,Hectare,20 years or over,Table grape vines,Romania,3468.69,3563.57
Annual,Total,Hectare,20 years or over,Red table grape vines,France,1780.53,:
Annual,Total,Hectare,20 years or over,Normal red table grape vines,France,1780.53,:
Annual,Total,Hectare,20 years or over,White table grape vines,France,835.99,:
Annual,Total,Hectare,20 years or over,Normal white table grape vines,France,832.12,:
Annual,Total,Hectare,20 years or over,Seedless white table grape vines,France,3.86,:
Annual,Total,Hectare,Less than 3 years,Table grape vines,Bulgaria,:,187.33
Annual,Total,Hectare,Less than 3 years,Table grape vines,Spain,856.28,2500.37
Annual,Total,Hectare,Less than 3 years,Table grape vines,European Union - 27 countries (from 2020),:,6016.83
Annual,Total,Hectare,Less than 3 years,Table grape vines,European Union - 28 countries (2013-2020),4398.16,6016.83
Annual,Total,Hectare,Less than 3 years,Table grape vines,France,328.43,:
Annual,Total,Hectare,Less than 3 years,Table grape vines,Italy,3084.78,3235.43
Annual,Total,Hectare,Less than 3 years,Table grape vines,Romania,128.67,93.7
Annual,Total,Hectare,Less than 3 years,Red table grape vines,France,231.8,:
Annual,Total,Hectare,Less than 3 years,Normal red table grape vines,France,222.28,:
Annual,Total,Hectare,Less than 3 years,Seedless red table grape vines,France,9.52,:
Annual,Total,Hectare,Less than 3 years,White table grape vines,France,96.63,:
Annual,Total,Hectare,Less than 3 years,Normal white table grape vines,France,60.02,:
Annual,Total,Hectare,Less than 3 years,Seedless white table grape vines,France,36.61,:
