Time frequency,Age class,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2003.0
Annual,From 55 to 64 years,Males,Number,Belgium,50.0
Annual,From 55 to 64 years,Males,Number,Switzerland,39.0
Annual,From 55 to 64 years,Males,Number,Cyprus,35.8 u
Annual,From 55 to 64 years,Males,Number,Czechia,30.0
Annual,From 55 to 64 years,Males,Number,Germany,47.0
Annual,From 55 to 64 years,Males,Number,Denmark,50.0
Annual,From 55 to 64 years,Males,Number,Greece,72.0
Annual,From 55 to 64 years,Males,Number,Spain,60.0
Annual,From 55 to 64 years,Males,Number,European Union - 25 countries (2004-2006),44.0
Annual,From 55 to 64 years,Males,Number,Finland,39.0
Annual,From 55 to 64 years,Males,Number,France,38.0
Annual,From 55 to 64 years,Males,Number,Hungary,70.0
Annual,From 55 to 64 years,Males,Number,Ireland,31.0
Annual,From 55 to 64 years,Males,Number,Italy,55.0
Annual,From 55 to 64 years,Males,Number,Luxembourg,35 u
Annual,From 55 to 64 years,Males,Number,Netherlands,46.8 u
Annual,From 55 to 64 years,Males,Number,Norway,24.0
Annual,From 55 to 64 years,Males,Number,Poland,43.0
Annual,From 55 to 64 years,Males,Number,Portugal,53.0
Annual,From 55 to 64 years,Males,Number,Sweden,47.0
Annual,From 55 to 64 years,Males,Number,Slovenia,37.0
Annual,From 55 to 64 years,Males,Number,Slovakia,28.0
Annual,From 55 to 64 years,Males,Number,United Kingdom,27.0
Annual,From 55 to 64 years,Total,Number,Austria,67.0
Annual,From 55 to 64 years,Total,Number,Belgium,45.0
Annual,From 55 to 64 years,Total,Number,Switzerland,38.0
Annual,From 55 to 64 years,Total,Number,Cyprus,39.0
Annual,From 55 to 64 years,Total,Number,Czechia,32.0
Annual,From 55 to 64 years,Total,Number,Germany,47.0
Annual,From 55 to 64 years,Total,Number,Denmark,49.0
Annual,From 55 to 64 years,Total,Number,Estonia,60.7 u
Annual,From 55 to 64 years,Total,Number,Greece,71.0
Annual,From 55 to 64 years,Total,Number,Spain,64.0
Annual,From 55 to 64 years,Total,Number,European Union - 25 countries (2004-2006),45.0
Annual,From 55 to 64 years,Total,Number,Finland,42.0
Annual,From 55 to 64 years,Total,Number,France,46.0
Annual,From 55 to 64 years,Total,Number,Hungary,71.0
Annual,From 55 to 64 years,Total,Number,Ireland,33.0
Annual,From 55 to 64 years,Total,Number,Italy,54.0
Annual,From 55 to 64 years,Total,Number,Lithuania,35 u
Annual,From 55 to 64 years,Total,Number,Luxembourg,39.0
Annual,From 55 to 64 years,Total,Number,Latvia,58.1 u
Annual,From 55 to 64 years,Total,Number,Netherlands,43.0
Annual,From 55 to 64 years,Total,Number,Norway,27.0
Annual,From 55 to 64 years,Total,Number,Poland,41.0
Annual,From 55 to 64 years,Total,Number,Portugal,65.0
Annual,From 55 to 64 years,Total,Number,Sweden,44.0
Annual,From 55 to 64 years,Total,Number,Slovenia,36.0
Annual,From 55 to 64 years,Total,Number,Slovakia,32.0
Annual,From 55 to 64 years,Total,Number,United Kingdom,27.0
