Time frequency,Work intensity,At risk of poverty - Yes/No,Age class,Unit of measure,Geopolitical entity (reporting)\Time,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Montenegro,:,:,:,:,:,:,:,11.6,9.8,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,North Macedonia,:,27.1,42.0,38.2,37.5,40.6,42.6,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Malta,:,10.5,11.0,15.5,19.3,16.6,17.1,17.5,22.2,26.8
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Netherlands,:,-2.0,2.5 b,3.4,3.2,3.0,6.8,11.3,13.1,6.3
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Norway,:,4.5,3.1,6.0,5.8,5.4,1.3,-1.7 b,-2.7,-2.5 b
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Poland,:,14.9,21.2,17.2,16.1,20.0,14.5,16.3,13.2,17.3
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Portugal,:,18.5,12.2,20.0,23.6,17.7,11.5,19.7,12.8,25.0
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Romania,:,43.1,40.7,34.9,40.6,46.5,46.8,43.4,40.2,39.5
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Serbia,:,34.7,39.8,40.4,41.0,35.5,29.9,34.3,34.9,:
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Sweden,:,14.4,16.5,19.8,22.4,20.1,18.4,21.1,14.2,22.0
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Slovenia,:,22.7,21.3,21.1,17.7,20.4,14.8,19.3,25.0,31.2
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Slovakia,:,28.9,38.9,40.9,41.3,42.1,32.1,26.2,26.6,44.3
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,Türkiye,:,-13.5,-10.7,-14.1,-21.4,-16.5,-10.9,-9.5,-14.8,-8.6
Annual,Very low work intensity (0-0.2),Total,From 16 to 64 years,Percentage,United Kingdom,:,0.2,2.0,3.0 b,5.5,:,:,:,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Albania,:,:,:,:,:,:,:,18.4,:,:
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Austria,:,12.0,17.1,19.0,16.0,11.5,6.8,5.9,-0.2,18.4
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Belgium,:,4.5,9.2,10.3,15.3,7.3 b,4.7 b,1.5,6.0,-1.3
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Bulgaria,:,38.6,32.7 b,41.0,34.2,37.2,44.6,29.9,35.0,35.8
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Switzerland,:,-7.8,-11.1,0.3,-0.1,4.5,-3.6,-1.6,-1.8,-0.7
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Cyprus,:,1.4,3.0,-0.6,6.1,-3.5,-1.9,-5.5,-4.6,4.3
Annual,Very low work intensity (0-0.2),Total,From 18 to 64 years,Percentage,Czechia,:,12.3,15.5,8.2,12.6,6.2,2.0,4.0,15.8,14.0
