Annual,All ISCED 2011 levels,Percentage,Croatia,52.0,51.8,55.1,61.8,60.4,54.4,51.5,44.4,43.3,36.1,34.3,27.7,27.4,22.5 b
Annual,All ISCED 2011 levels,Percentage,Hungary,55.1,56.1,56.5,53.3,48.1,45.1,41.4,39.5,33.4,26.8,26.9,25.0,21.3,21.8
Annual,All ISCED 2011 levels,Percentage,Ireland,29.3,28.4,31.4,33.8,33.9,29.6,25.1,22.0,18.7,16.4 b,14.9 b,14.1,16.6,15.7
Annual,All ISCED 2011 levels,Percentage,Iceland,23.4,23.2,21.3,21.9,19.1,18.1,13.4,11.3,10.7,12.0,:,:,:,:
Annual,All ISCED 2011 levels,Percentage,Italy,36.4,37.0,39.0,40.4,39.2,37.3,32.7,27.4,30.0,22.4,23.0,23.5,21.9,18.1
Annual,All ISCED 2011 levels,Percentage,Lithuania,38.1,35.5,37.3,32.6,29.6,29.4,29.9,28.5,23.8,19.6,15.5,13.3,13.5,14.1
Annual,All ISCED 2011 levels,Percentage,Luxembourg,7.4,8.2,9.1,12.1,10.7,11.2,11.5 b,11.6,11.9,9.6,11.3 b,8.9 b,5.2 b,5.9
Annual,All ISCED 2011 levels,Percentage,Latvia,55.1,56.6,51.2,54.8,48.6,42.5,39.4,41.0,33.2,25.7,25.0,20.9,24.8,24.8
Annual,All ISCED 2011 levels,Percentage,Montenegro,:,:,:,60.1,65.8,63.0,61.7,61.7,67.6,59.5,58.7,60.2,48.8,:
Annual,All ISCED 2011 levels,Percentage,North Macedonia,63.3,66.2,67.8,60.4,60.2,55.2,56.6,54.8,52.8,47.1,46.0,:,:,:
Annual,All ISCED 2011 levels,Percentage,Malta,45.8,36.7,40.7,35.8,31.2,20.9,19.0,15.1,13.3,12.1,15.2,15.2,20.9,15.8
Annual,All ISCED 2011 levels,Percentage,Netherlands,11.9,12.2,12.0,14.9,14.4,12.8,12.3 b,11.4,10.0,9.8,7.6,5.6,6.8,7.1
Annual,All ISCED 2011 levels,Percentage,Norway,5.3,6.1,5.9,5.7,4.2,4.8,5.1,5.1,5.5,6.4,6.0,6.8,6.7,8.4
Annual,All ISCED 2011 levels,Percentage,Poland,34.7 b,32.3,34.0,32.2,29.6,29.3,25.1,23.1,19.5,16.5,16.6,14.6,15.5,15.8
Annual,All ISCED 2011 levels,Percentage,Portugal,42.0,38.8,37.5,44.0,43.1,40.0,36.4,33.7,29.2,25.8,20.6,21.2 b,23.3,22.9
Annual,All ISCED 2011 levels,Percentage,Romania,47.1,47.2,48.2,49.3,47.2,44.3,42.4,36.7,35.3,31.5,34.8,28.2,25.1,27.3
Annual,All ISCED 2011 levels,Percentage,Serbia,:,:,:,63.8,68.4,65.0,64.4,61.7,58.6,47.2,42.2,44.7,41.2,:
Annual,All ISCED 2011 levels,Percentage,Sweden,7.6,8.5,7.5,6.9,6.8,6.4,6.9,6.5,6.9,6.5,6.0,6.4,6.4,8.2
Annual,All ISCED 2011 levels,Percentage,Slovenia,28.8,29.7,28.4,33.0,30.9,28.9,26.3,23.1,20.8,17.9,17.4,11.9,14.3,14.5
Annual,All ISCED 2011 levels,Percentage,Slovakia,31.5,29.7,32.8,36.2,33.5,32.5,29.2,25.9,24.9,28.2,28.4,26.0,27.0,29.4
Annual,All ISCED 2011 levels,Percentage,Türkiye,54.9,51.5,52.8,51.7,40.8,43.2,31.1,14.8,12.4,14.5,20.4,28.1,32.0,31.4
