Time frequency,Other gainful activity of the holder,Eurofarm indicators,Unit of measure,Other gainful activity of the spouse,Age class,Geopolitical entity (reporting)\Time,2005.0,2007.0,2010.0,2013.0
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Portugal,76.99,67.58,73.95,59.39
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Romania,936.99,878.31,859.54,839.83
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Sweden,20.8,20.28,18.89,17.3
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Slovenia,17.66,17.67,19.18,20.09
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,Slovakia,17.23,18.24,6.26,6.24
Annual,Total,hold: Total number of holdings,Thousand,Total,From 55 to 64 years,United Kingdom,79.13,62.72,51.01,50.33
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Austria,18.7,17.8,13.44,12.38
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Belgium,10.12,9.39,8.02,7.01
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Bulgaria,222.19,221.89,137.8,93.0
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Switzerland,:,:,2.83,:
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Cyprus,12.18,11.69,12.51,13.91
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Czechia,7.03,6.76,2.76,5.78
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Germany,28.11,27.33,14.76,17.73
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Denmark,9.47,8.87,7.84,9.17
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Estonia,7.99,7.28,5.51,5.81
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Greece,306.73,321.15,251.86,240.57
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Spain,359.37,361.35,326.16,370.47
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Finland,4.39,4.16,6.03,5.57
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,France,75.11,65.8,58.47,54.14
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Croatia,:,78.15,80.09,52.49
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Hungary,194.75,171.84,168.89,148.15
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Ireland,31.61,31.87,36.64,37.71
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Iceland,:,:,0.37,:
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Italy,734.95,740.54,615.84,407.84
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Lithuania,80.66,93.46,73.26,59.61
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Luxembourg,0.41,0.36,0.33,0.33
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Latvia,36.93,31.69,25.09,24.66
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Montenegro,:,:,16.23,:
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Malta,2.59,2.79,3.41,2.39
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Netherlands,13.29,13.27,13.27,14.1
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Norway,4.12,3.87,4.31,5.59
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Poland,421.95,387.9,129.09,138.66
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Portugal,150.13,129.62,141.92,131.86
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Romania,1848.97,1761.76,1477.72,1514.59
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Sweden,14.85,14.67,17.69,19.39
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Slovenia,26.22,26.29,25.02,23.74
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,Slovakia,20.04,22.02,5.49,4.98
Annual,Total,hold: Total number of holdings,Thousand,Total,65 years or over,United Kingdom,84.24,67.53,57.71,59.44
