Time frequency,Unit of measure,Rail network segment (2005),Train category\Time,2005.0
Annual,Number,Balykesir - Soma,Other trains,90.0
Annual,Number,Balykesir - Soma,Passenger trains,1437.0
Annual,Number,Bandyrma - Balykesir,Goods trains,1351.0
Annual,Number,Bandyrma - Balykesir,Other trains,24.0
Annual,Number,Bandyrma - Balykesir,Passenger trains,4.0
Annual,Number,Manisa - Ci?Li,Goods trains,998.0
Annual,Number,Manisa - Ci?Li,Other trains,69.0
Annual,Number,Manisa - Ci?Li,Passenger trains,2331.0
Annual,Number,Karakuyu - Goncaly,Goods trains,471.0
Annual,Number,Karakuyu - Goncaly,Other trains,4.0
Annual,Number,Karakuyu - Goncaly,Passenger trains,1096.0
Annual,Number,Afyon - Karakuyu,Goods trains,877.0
Annual,Number,Afyon - Karakuyu,Other trains,31.0
Annual,Number,Afyon - Karakuyu,Passenger trains,722.0
Annual,Number,E?Irdir - Karakuyu,Goods trains,188.0
Annual,Number,E?Irdir - Karakuyu,Other trains,42.0
Annual,Number,E?Irdir - Karakuyu,Passenger trains,326.0
Annual,Number,Burdur - Gumu?Gun,Goods trains,215.0
Annual,Number,Burdur - Gumu?Gun,Other trains,41.0
Annual,Number,Burdur - Gumu?Gun,Passenger trains,1.0
Annual,Number,Isparta - Bozanonu,Goods trains,32.0
Annual,Number,Isparta - Bozanonu,Other trains,3.0
Annual,Number,Isparta - Bozanonu,Passenger trains,496.0
Annual,Number,Civril - Sutlac,Goods trains,0.0
Annual,Number,Civril - Sutlac,Other trains,1.0
Annual,Number,Civril - Sutlac,Passenger trains,0.0
Annual,Number,Denizli - Goncaly,Goods trains,263.0
Annual,Number,Denizli - Goncaly,Other trains,2.0
Annual,Number,Denizli - Goncaly,Passenger trains,1696.0
Annual,Number,Soke - Ortaklar,Goods trains,222.0
Annual,Number,Soke - Ortaklar,Other trains,3.0
Annual,Number,Soke - Ortaklar,Passenger trains,1444.0
Annual,Number,Odemi? - Torbaly,Goods trains,1.0
Annual,Number,Odemi? - Torbaly,Other trains,17.0
Annual,Number,Odemi? - Torbaly,Passenger trains,1644.0
Annual,Number,Kalyn - Sivas,Goods trains,1781.0
Annual,Number,Kalyn - Sivas,Other trains,92.0
Annual,Number,Kalyn - Sivas,Passenger trains,1824.0
Annual,Number,Hanly - Kalyn,Goods trains,869.0
Annual,Number,Hanly - Kalyn,Other trains,68.0
Annual,Number,Hanly - Kalyn,Passenger trains,1461.0
Annual,Number,Bostankaya - Sivas,Goods trains,1879.0
Annual,Number,Bostankaya - Sivas,Other trains,176.0
Annual,Number,Bostankaya - Sivas,Passenger trains,1437.0
Annual,Number,Samsun - Kalyn,Goods trains,954.0
Annual,Number,Samsun - Kalyn,Other trains,16.0
Annual,Number,Samsun - Kalyn,Passenger trains,501.0
Annual,Number,Car?Amba - Samsun,Goods trains,21.0
Annual,Number,Car?Amba - Samsun,Other trains,1.0
Annual,Number,Car?Amba - Samsun,Passenger trains,0.0
Annual,Number,Erzurum - Divri?I,Goods trains,596.0
Annual,Number,Erzurum - Divri?I,Other trains,23.0
Annual,Number,Erzurum - Divri?I,Passenger trains,730.0
Annual,Number,Kars - Erzurum,Goods trains,280.0
Annual,Number,Kars - Erzurum,Other trains,20.0
Annual,Number,Kars - Erzurum,Passenger trains,726.0
Annual,Number,Do?Ukapy - Kars,Goods trains,0.0
Annual,Number,Do?Ukapy - Kars,Other trains,8.0
Annual,Number,Do?Ukapy - Kars,Passenger trains,597.0
Annual,Number,Gelemen - Samsun,Goods trains,116.0
Annual,Number,Gelemen - Samsun,Other trains,6.0
Annual,Number,Gelemen - Samsun,Passenger trains,912.0
Annual,Number,Divri?I - Cetinkaya,Goods trains,2211.0
Annual,Number,Divri?I - Cetinkaya,Other trains,13.0
Annual,Number,Divri?I - Cetinkaya,Passenger trains,727.0
Annual,Number,Hekimhan - Malatya,Goods trains,2316.0
Annual,Number,Hekimhan - Malatya,Other trains,111.0
Annual,Number,Hekimhan - Malatya,Passenger trains,755.0
Annual,Number,Cetinkaya - Hekimhan,Goods trains,2259.0
