Time frequency,Economical indicator for structural business statistics,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Geopolitical entity (reporting)\Time,1997.0,1998.0,1999.0,2000.0,2003.0,2004.0,2005.0,2006.0,2007.0
Annual,Turnover of non-autonomous pension funds - million euro,"Transport, storage and communication",Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Spain,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Finland,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Italy,:,:,:,:,:,:,:,0.27,:
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Lithuania,:,:,:,:,:,0.0,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Netherlands,:,:,:,:,:,:,0.0,:,:
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Norway,:,:,:,:,:,:,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Slovenia,:,:,:,:,:,:,:,0.0,:
Annual,Turnover of non-autonomous pension funds - million euro,Financial intermediation,Slovakia,:,:,:,:,:,0.0,:,:,0.00 d
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Bulgaria,:,:,:,:,:,0.0,0.0,:,0.0
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Czechia,:,:,:,:,0.0,:,:,:,: m
Annual,Turnover of non-autonomous pension funds - million euro,"Real estate, renting and business activities",Spain,:,:,:,:,:,:,:,:,0.00 d
