Time frequency,Labour costs structure,Price adjustment,Unit of measure,Geopolitical entity (reporting)\Time,Juillet-Décembre 2014,Juillet-Décembre 2015,Juillet-Décembre 2016,Juillet-Décembre 2017,Juillet-Décembre 2018,Juillet-Décembre 2019,Juillet-Décembre 2020,Juillet-Décembre 2021,Juillet-Décembre 2022,Juillet-Décembre 2023,Juillet-Décembre 2024
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2178.2,2314.1,2389.4,2470.9,2424.8,2481.6,2597.1,2755.0,2766.0,2812.0,3152.0
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),European Union - 27 countries (from 2020),2285.3,2443.8,2531.4,2592.4,2535.9,2590.6,2683.3,:,:,:,:
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),European Union (aggregate changing according to the context),2370.7,2482.1,2542.8,2619.7,2556.8,2620.6,2737.6,2966.0,2954.0,3012.0,3347.0
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),Finland,0.0,2677.9,2716.2,2707.6,2804.3,2930.9,2940.6,3091.0,3205.0,3279.0,3670.0
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),France,2088.7,2407.9,2433.3,2520.1,2018.5,2053.1,2194.5,2054.0,2258.0,2285.0,2582.0
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),Croatia,0.0,0.0,0.0,1203.2,1253.2,1253.2,1575.2,1430.0,1439.0,1550.0,2309.0
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),Hungary,1006.7,1107.6,1110.2,1202.2,1220.7,1220.7,1713.6,1469.0,1527.0,1483.0,2169.0
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),Ireland,2169.8,1122.3,2312.6,2369.6,2500.7,2500.7,2369.5,2176.0,2341.0,2466.0,2732.0
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),Italy,1604.7,1628.7,1655.7,1675.5,1754.0,1767.2,1860.3,1889.0,2062.0,2032.0,2295.0
"Half-yearly, semesterly",Net remuneration in nominal terms / real terms,Nominal value,Purchasing power standard (PPS),Lithuania,1090.9,1168.1,1206.7,1194.6,1247.3,1247.3,1900.5,1704.0,1687.0,1656.0,2027.0
