Time frequency,Unit of measure,Customer,Level of efficiency,Type of network,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0
Annual,Terajoule,All customers,Low,District cooling,Euro area – 20 countries (from 2023),:,3806.955,:,4422.508
Annual,Terajoule,All customers,Low,District cooling,Estonia,2.0,3.11,3.2,2.9
Annual,Terajoule,All customers,Low,District cooling,Spain,669.9,604.1,644.6,154.5
Annual,Terajoule,All customers,Low,District cooling,European Union - 27 countries (from 2020),:,3806.955,:,4422.508
Annual,Terajoule,All customers,Low,District cooling,Finland,24.0,43.0,50.0,48.0
Annual,Terajoule,All customers,Low,District cooling,France,3566.795,2928.701,2909.308,3657.35
Annual,Terajoule,All customers,Low,District cooling,Italy,259.933,223.737,245.354,325.382
Annual,Terajoule,All customers,Low,District cooling,Luxembourg,:,0.0,0.0,0.0
Annual,Terajoule,All customers,Low,District cooling,Malta,:,:,:,0.0
Annual,Terajoule,All customers,Low,District cooling,Slovenia,5.245,4.307,5.364,0.376
Annual,Terajoule,All customers,Low,District heating,Belgium,:,494.473,:,:
Annual,Terajoule,All customers,Low,District heating,Bulgaria,4487.0,4921.0,4679.0,4679.0
Annual,Terajoule,All customers,Low,District heating,Denmark,5671.208,7961.574,6310.149,3709.449
Annual,Terajoule,All customers,Low,District heating,Euro area – 20 countries (from 2023),:,41791.442,:,38836.129
Annual,Terajoule,All customers,Low,District heating,Greece,:,:,272.0,891.8
Annual,Terajoule,All customers,Low,District heating,Spain,786.0,703.2,675.0,331.8
Annual,Terajoule,All customers,Low,District heating,European Union - 27 countries (from 2020),:,63627.512,:,55280.548
Annual,Terajoule,All customers,Low,District heating,Finland,2883.0,2169.0,1858.0,1729.0
Annual,Terajoule,All customers,Low,District heating,France,8003.826,8766.086,9356.058,6890.043
Annual,Terajoule,All customers,Low,District heating,Italy,8153.801,8291.827,9227.0,6931.094
Annual,Terajoule,All customers,Low,District heating,Latvia,21883.0,20892.0,24753.0,21294.0
Annual,Terajoule,All customers,Low,District heating,Malta,:,:,:,0.0
Annual,Terajoule,All customers,Low,District heating,Romania,9965.367,8953.496,8579.062,8055.97
Annual,Terajoule,All customers,Low,District heating,Slovenia,1092.429,474.856,669.876,768.393
Annual,Terajoule,All customers,Low,District heating - hot water,Belgium,:,494.473,:,:
Annual,Terajoule,All customers,Low,District heating - hot water,Bulgaria,4487.0,4921.0,4679.0,4679.0
Annual,Terajoule,All customers,Low,District heating - hot water,Denmark,5671.208,7961.574,6310.149,3709.449
Annual,Terajoule,All customers,Low,District heating - hot water,Euro area – 20 countries (from 2023),:,9732.778,:,8062.298
Annual,Terajoule,All customers,Low,District heating - hot water,Greece,:,:,272.0,635.89
Annual,Terajoule,All customers,Low,District heating - hot water,European Union - 27 countries (from 2020),:,29973.719,:,22895.904
Annual,Terajoule,All customers,Low,District heating - hot water,Finland,2883.0,2169.0,1858.0,1729.0
Annual,Terajoule,All customers,Low,District heating - hot water,France,6415.99,7069.305,7523.163,5522.408
Annual,Terajoule,All customers,Low,District heating - hot water,Malta,:,:,:,0.0
Annual,Terajoule,All customers,Low,District heating - hot water,Romania,8361.053,7358.367,7102.684,6445.157
Annual,Terajoule,All customers,Low,District heating - steam,Belgium,:,0.0,:,:
Annual,Terajoule,All customers,Low,District heating - steam,Bulgaria,0.0,0.0,:,:
