Time frequency,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 3 years to minimum compulsory school age,Romania,:,:,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0
Annual,From 3 years to minimum compulsory school age,Serbia,:,:,:,:,:,:,:,:,:,:,:,20.0,20.0,21.0,20.0,20.0,24.0,20.0,:
Annual,From 3 years to minimum compulsory school age,Sweden,20.0,22.0,30.0,30.0,22.0,25.0,20.0,35.0,25.0,30.0,30.0,27.0,12.0,30.0,15.0,9.0,4.0,4.0,4.0
Annual,From 3 years to minimum compulsory school age,Slovenia,15.0,10.0,10.0,10.0,6.0,7.0,7.0,10.0,8.0,6.0,6.0,6.0,5.0,5.0,5.0,6.0,10.0,5.0,5.0
Annual,From 3 years to minimum compulsory school age,Slovakia,16.0,15.0,10.0,10.0,10.0,10.0,10.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Annual,From 3 years to minimum compulsory school age,Türkiye,:,45.0,40.0,40.0,45.0,:,:,:,:,:,40.0,:,:,:,:,:,40.0,40.0,15.0
Annual,From 3 years to minimum compulsory school age,United Kingdom,9.0,10.0,10.0,11.0,10.0,10.0,10.0,12 b,11.0,12.0,12.0,10.0,12.0 b,10.0,:,:,:,:,:
Annual,Less than 3 years,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,40.0,:,:
Annual,Less than 3 years,Austria,6.0,10.0,10.0,9.0,8.0,5.0,8.0,6.0,8.0,6.0,6.0,8.0,6.0,6.0,5.0,5.0,5.0,7.0,10.0
Annual,Less than 3 years,Belgium,20.0,16.0,20.0,20.0,17.0,18.0,20.0,20.0,16.0,19.0,16.0,24.0,18.0,20.0,15.0 b,10.0,16.0,10.0,16.0
Annual,Less than 3 years,Bulgaria,:,24.0,30.0,30.0,40.0,: u,30.0,40.0,20.0,30.0,30.0,17.0,25.0,20.0,20.0,40.0,25.0,30.0,20.0
Annual,Less than 3 years,Switzerland,:,:,:,:,10.0,8.0,8.0,9.0,10.0,10.0,:,:,12.0,10.0,11.0,13.0,14.0,12.0,10.0
Annual,Less than 3 years,Cyprus,38.0,35.0,40.0,38.0,36.0,35.0,38.0,35.0,35.0,38.0,35.0,35.0,30.0,35.0,35.0,40.0,35.0,40.0,40.0
Annual,Less than 3 years,Czechia,8.0,5.0,8.0,7.0,7.0,6.0,8.0,6.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0
Annual,Less than 3 years,Germany,10.0,21.0,10.0,10.0,12.0,15.0,15.0,15.0,16.0,20.0,20.0,14.0,20.0,21.0,23.0,15.0 b,13.0,17.0,15.0
Annual,Less than 3 years,Denmark,: u,: u,: u,: u,:,:,: u,30 u,20 u,:,37.0,35.0,25.0,37.0,37.0,35.0,:,37.0,4.0
Annual,Less than 3 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,21.0 e,21.0 e,21.0 e,20.0 e,18.0 e,18.0 e,18.0 e,20.0,17.2 e,12.9,:,:
Annual,Less than 3 years,Euro area - 18 countries (2014),18.0,20.0,20.0,18.0,20.0,20.0,18.0,21.0,22.0,21.0,20.0,18.0,18.0,18.0,20.1,17.2 e,:,:,:
Annual,Less than 3 years,Euro area - 19 countries  (2015-2022),18.0,20.0,20.0,18.0,20.0,20.0,18.0,21.0,22.0,21.0,20.0,18.0,18.0,18.0,20.0,17.2 e,12.9,:,:
Annual,Less than 3 years,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,21.0,20.0,18.0,18.0,18.0,20.0,17.0 e,12.0,14.1,14.7
Annual,Less than 3 years,Estonia,12.0,16.0,6.0,10.0,8.0,8.0,6.0,6.0,6.0,6.0,5.0,5.0,6.0,8.0,5.0,5.0,5.0,5.0,6.0
Annual,Less than 3 years,Greece,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,30.0,25.0,20.0,30.0,30.0,30.0,25.0,20.0,20.0
Annual,Less than 3 years,Spain,20.0,20.0,20.0,24.0,25.0,25.0,20.0,24.0,30.0,25.0,25.0,30.0,25.0,18.0,20.0,15.0,10.0,14.0,15.0
Annual,Less than 3 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,20.0,21.0,20.0,19.0,17.0,17.0,18.0,19.2 e,:,:,:,:
Annual,Less than 3 years,European Union - 27 countries (2007-2013),:,:,20.0,18.0,20.0,18.0,18.0,20.0,21.0,20.0,19.0,17.0,17.0,18.0,19.2 e,:,:,:,:
Annual,Less than 3 years,European Union - 27 countries (from 2020),:,:,:,:,:,20.0 e,21.0 e,22.0 e,22.0 e,22.0 e,21.0 e,17.0 e,18.0 e,18.0 e,19.7 e,17.1 e,12.0,13.7,14.0
Annual,Less than 3 years,European Union - 28 countries (2013-2020),:,:,:,:,:,19.0,18.0,20.0 e,21.0,20.0,19.0,17.0,17.0,18.0,19.2 e,:,:,:,:
Annual,Less than 3 years,Finland,25.0,25.0,28.0,30.0,14.0,30 b,30.0,30.0,32.0,28.0,35.0,25.0,35.0,30.0,34.0,30.0,20.0,20.0,18.0
Annual,Less than 3 years,France,30.0,27.0,29.0,24.0,20.0,20.0,20.0,24.0,28.0,25.0,24.0,20.0,14.0,15.0,20.0,20.0 b,10.0,10.0 b,10.0
Annual,Less than 3 years,Croatia,:,:,:,:,:,30.0,20.0,25.0,20.0,25.0,30.0,20.0,20.0,15.0,15.0,10.0,10.0,10.0,15.0
Annual,Less than 3 years,Hungary,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,8.0,7.0,6.0,5.0,5.0,5.0,5.0,5.0
Annual,Less than 3 years,Ireland,24.0,24.0,24.0,23.0,20.0,20.0,25.0,24.0,23.0,27.0,24.0,20.0,20.0,20.0,15.0 b,28.0 b,25.0,25.0,24.0
Annual,Less than 3 years,Iceland,40.0,35.0,35.0,35.0,30.0,30.0,35.0,35.0,30.0,35.0,30.0,5.0,4.0,4.0,5.0,:,:,:,:
Annual,Less than 3 years,Italy,18.0,20.0,20.0,20.0,20.0,20.0,15.0,20.0,15.0,15.0,15.0,12.0,20.0,20.0,20.0,:,12.0,14.0,20.0
