Time frequency,annex,indic_sb,priority,unit,nace_r1,cpa02,partner,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512BC,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512BD,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512BE,TOTAL,ES,:,:,897.0,1035.0,1135.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512C,TOTAL,ES,:,:,385.0,442.0,508.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J652,TOTAL,ES,:,:,126.0,131.0,159.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J652,TOTAL,NO,10.85,9.213,1.444 p,5.547,:
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6521,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6522,TOTAL,ES,:,:,:,:,159.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6522,TOTAL,SE,69.355,65.725 b,79.137,79.927,101.674
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6522A,TOTAL,ES,:,:,:,:,0.0
