Time frequency,Energy consumption,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,EL,0.04,6.25,:,7.52,8.3138,: @C,: @C
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,ES,:,:,0.7400 e,1.0,3.99,6.7499,5.5709
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,EU27_2020,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,FI,0.7619,0.75,0.83,0.21,0.2400 e,0.2100 e,0.181
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,FR,13.8564,11.5579,11.3667,12.0633,11.2699,14.3612,15.4501
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,GE,:,18.2345,20.0,20.29,21.0,19.0,20.0
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,HR,29.15,24.43,21.72,25.8743,28.02,26.39,22.19
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,HU,11.7422,10.6429,10.2533,9.7179,10.7776,10.8389,8.2166
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,IE,11.0632,11.4465,10.8332,9.8356,:,:,:
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,IT,:,10.1584,13.9011,13.421,13.5954,16.8991,16.8542
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,LT,6.55,7.9151,5.7608,12.6012,15.0871,16.949,14.5701
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,LU,8.36,7.02,7.5,7.9,8.42,8.6,10.7
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,LV,6.55,6.07,6.95,6.76,6.7468,7.7486,11.37
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,MD,9.0142,3.7907,3.5854,4.8842,3.8268,4.1945,7.1404
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,MK,0.6608,0.5323,0.5785,0.1396,0.7241,37.7016,0.836
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,NL,: u,: u,8.0,8.0,9.0,11.0,11.0
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,PL,14.6136,14.1553,11.3291,10.4009,11.3193,9.1285,7.8643
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,PT,3.12,6.584,2.674,2.752,:,:,4.287
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,RO,7.8878 e,7.6928 e,9.2749,12.3645,13.55,12.3813,12.2391
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,RS,0.9193,0.8789,0.895,0.6779,0.6633,0.6509,0.7679
