Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Males,From 18 to 64 years,Iceland,1.9,1.8,3.0,2.1,2.1,1.4,1.4,1.8,4.0,:
Annual,Percentage,Total,Males,From 18 to 64 years,Italy,9.5,8.7,9.7,10.8,10.7,8.8,6.5,5.8,5.6,7.0
Annual,Percentage,Total,Males,From 18 to 64 years,Lithuania,7.4 b,7.2,8.4,9.3,8.8,9.2,7.7,6.7,6.9,5.0
Annual,Percentage,Total,Males,From 18 to 64 years,Luxembourg,2.0,3.0,1.8,1.6,1.7,2.0 b,2.4,2.4,2.1,1.2 b
Annual,Percentage,Total,Males,From 18 to 64 years,Latvia,17.7,16.2,16.6,16.7,15.7,14.6,15.5,15.3,12.2,11.6
Annual,Percentage,Total,Males,From 18 to 64 years,Montenegro,:,:,22.7,20.7,24.2,17.8,15.9,17.8,19.2,17.3
Annual,Percentage,Total,Males,From 18 to 64 years,North Macedonia,13.8,12.2,12.1,11.8 b,9.9,12.0,10.1,10.8,9.3,9.5
Annual,Percentage,Total,Males,From 18 to 64 years,Malta,1.2,1.0,1.6,1.5,1.4,1.5,1.0,0.9,1.0,0.8
Annual,Percentage,Total,Males,From 18 to 64 years,Netherlands,0.6,1.0,1.2,0.7,1.4,1.5 b,1.5,1.5,1.5,1.6
Annual,Percentage,Total,Males,From 18 to 64 years,Norway,1.3,1.2,1.5,1.0,0.7,0.8,0.8,1.1,1.2,0.9
Annual,Percentage,Total,Males,From 18 to 64 years,Poland,11.5,10.8,10.4,9.3,10.2,10.0,10.4,9.3,8.4,:
Annual,Percentage,Total,Males,From 18 to 64 years,Portugal,4.2,4.3,6.0,5.8,5.0,5.0,3.8,4.1,4.3,4.2
Annual,Percentage,Total,Males,From 18 to 64 years,Romania,24.7,22.5,22.4,20.7,19.7,19.4,17.6,15.7,14.1,14.0
Annual,Percentage,Total,Males,From 18 to 64 years,Serbia,:,:,16.8,18.5,17.0,16.2,14.6,11.4,14.5,9.8
Annual,Percentage,Total,Males,From 18 to 64 years,Sweden,2.4,1.4,2.1,2.5,2.6,3.1,2.9,3.0,2.7,2.4
Annual,Percentage,Total,Males,From 18 to 64 years,Slovenia,9.1 b,8.5,6.3,6.6,5.9,4.9,4.7,5.0,3.7,3.1
Annual,Percentage,Total,Males,From 18 to 64 years,Slovakia,4.5,4.9,4.2,4.3,3.8,3.9,5.0,3.7,3.6,3.6
Annual,Percentage,Total,Males,From 18 to 64 years,Türkiye,26.1,26.3,24.9,24.7,24.2,24.3,23.1,22.0,21.8,20.6
Annual,Percentage,Total,Males,From 18 to 64 years,United Kingdom,2.5,1.9 b,2.6,2.3,1.9,2.4,0.8 b,1.7,:,:
Annual,Percentage,Total,Males,From 18 to 64 years,Kosovo*,:,:,:,:,:,:,:,20.3,:,:
Annual,Percentage,Total,Males,Less than 18 years,Albania,:,:,:,:,:,:,25.3,28.3,27.6,18.6
Annual,Percentage,Total,Males,Less than 18 years,Austria,7.0,6.9,7.5,6.3,6.9,6.9,6.7,5.4,3.6,6.0
Annual,Percentage,Total,Males,Less than 18 years,Belgium,2.0,0.9,1.7,1.1,1.6,2.9 b,3.5,4.1,3.6 b,4.6
Annual,Percentage,Total,Males,Less than 18 years,Bulgaria,22.7,22.2,23.9,23.2 b,20.0,20.9 b,18.4,15.4,14.3,15.3
Annual,Percentage,Total,Males,Less than 18 years,Switzerland,2.1,2.4,3.0,2.7 b,1.9,3.9,3.4,3.2,2.7,2.2
Annual,Percentage,Total,Males,Less than 18 years,Cyprus,2.7,2.2,1.6,3.3,1.0,1.2,0.7,1.1,2.1,2.2
Annual,Percentage,Total,Males,Less than 18 years,Czechia,8.9,7.6,6.1,6.3,6.0,5.7,3.7,4.1,3.9,3.7
Annual,Percentage,Total,Males,Less than 18 years,Germany,3.5,2.6,2.3,3.3,2.9,2.8,2.5,3.8,2.9,2.4 b
Annual,Percentage,Total,Males,Less than 18 years,Denmark,4.7 b,2.1,3.8,3.1,3.1,1.8,4.5,4.2,2.0,3.6
Annual,Percentage,Total,Males,Less than 18 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",5.0 e,5.0 e,4.8 e,5.4 e,5.5 e,5.3 e,4.0 e,4.4 e,4.2,5.1
Annual,Percentage,Total,Males,Less than 18 years,Euro area - 18 countries (2014),5.1,5.1,4.9,5.4,5.4,5.3,3.9,4.4,4.1,5.1
