Time frequency,Frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2011.0
Annual,No response,Total,Percentage,United Kingdom,:,: u
Annual,Never,Females,Percentage,Austria,3.2,2.2 u
Annual,Never,Females,Percentage,Belgium,10.4,:
Annual,Never,Females,Percentage,Bulgaria,12.7,13.8
Annual,Never,Females,Percentage,Cyprus,13.0,16.8
Annual,Never,Females,Percentage,Czechia,2.9,3.2
Annual,Never,Females,Percentage,Germany,8.6,6.8
Annual,Never,Females,Percentage,Estonia,2.0 u,2.3 u
Annual,Never,Females,Percentage,Greece,17.9,29.7
Annual,Never,Females,Percentage,Spain,14.9,20.6
Annual,Never,Females,Percentage,Finland,: u,: u
Annual,Never,Females,Percentage,Croatia,5.9,:
Annual,Never,Females,Percentage,Hungary,3.7,3.8
Annual,Never,Females,Percentage,Italy,:,21.4
Annual,Never,Females,Percentage,Lithuania,1.1 u,2.9
Annual,Never,Females,Percentage,Luxembourg,:,: u
Annual,Never,Females,Percentage,Latvia,: u,1.6 u
Annual,Never,Females,Percentage,Malta,18.0,22.9
Annual,Never,Females,Percentage,Poland,1.5,2.6
Annual,Never,Females,Percentage,Portugal,18.6,7.6
Annual,Never,Females,Percentage,Romania,10.0,20.6
Annual,Never,Females,Percentage,Serbia,:,5.6
Annual,Never,Females,Percentage,Slovenia,2.8,12.9
Annual,Never,Females,Percentage,Slovakia,: u,: u
Annual,Never,Females,Percentage,Türkiye,36.0,45.4
Annual,Never,Females,Percentage,United Kingdom,:,12.5
Annual,Never,Males,Percentage,Austria,2.2 u,2.1 u
Annual,Never,Males,Percentage,Belgium,8.3,:
Annual,Never,Males,Percentage,Bulgaria,9.2,10.4
Annual,Never,Males,Percentage,Cyprus,6.3,11.6
Annual,Never,Males,Percentage,Czechia,2.3,2.6
Annual,Never,Males,Percentage,Germany,7.2,6.6
Annual,Never,Males,Percentage,Estonia,1.7 u,3.4 u
Annual,Never,Males,Percentage,Greece,7.7,15.5
Annual,Never,Males,Percentage,Spain,8.1,10.9
Annual,Never,Males,Percentage,Finland,: u,1.3 u
Annual,Never,Males,Percentage,Croatia,4.4,:
Annual,Never,Males,Percentage,Hungary,3.4,3.9
Annual,Never,Males,Percentage,Italy,:,12.3
Annual,Never,Males,Percentage,Lithuania,1.6 u,3.3
Annual,Never,Males,Percentage,Luxembourg,:,: u
