Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Lower secondary education,Percentage,Norway,36.8,37.0,36.3,:,30.7,29.9,29.9,26.1,26.4,26.5
Annual,Lower secondary education,Percentage,Poland,31.7,32.1,31.4,31.4,31.5,35.7 b,34.4,30.0,29.1,28.9
Annual,Lower secondary education,Percentage,Portugal,9.7,14.1,15.4,15.3,15.6,16.4,23.0,22.8,22.8,22.6
Annual,Lower secondary education,Percentage,Romania,26.9,27.9,19.9,17.0,16.2,15.3,14.3,15.3,15.3,14.6
Annual,Lower secondary education,Percentage,Serbia,50.8,53.7,53.2,55.6,56.3,57.1,58.0,59.1,49.0,56.8
Annual,Lower secondary education,Percentage,Sweden,31.2,30.1,28.5,27.0,25.8,24.0,25.0,24.5,23.9,23.0
Annual,Lower secondary education,Percentage,Slovenia,11.5,11.5,11.0,7.8,6.0,: d,: d,: d,: d,: d
Annual,Lower secondary education,Percentage,Slovakia,16.1,16.6,16.4,16.5,16.8,16.4,18.1,17.9,17.2,20.0
Annual,Lower secondary education,Percentage,Türkiye,: m,: m,: m,: m,: m,: m,: m,: m,: m,: m
Annual,Lower secondary education,Percentage,United Kingdom,25.3,22.3,18.7 d,19.0,19.5,21.6,22.1,:,:,:
Annual,Upper secondary education,Percentage,Albania,:,:,:,:,:,:,:,:,0.0,0.0
Annual,Upper secondary education,Percentage,Austria,27.3,27.3,27.7,27.9,28.5,28.9,29.2,28.7,27.8,28.7
Annual,Upper secondary education,Percentage,Bosnia and Herzegovina,:,:,:,:,:,:,34.1,:,:,:
Annual,Upper secondary education,Percentage,Belgium,35.0,46.4 d,: d,47.6 d,48.6,47.7,47.4,48.2,46.6,46.3
Annual,Upper secondary education,Percentage,Bulgaria,5.8,5.4,5.4,5.0,5.1,4.5 b,4.7,5.7,6.0,6.4
Annual,Upper secondary education,Percentage,Switzerland,74.2 d,74.5 d,74.8 d,74.2 d,74.7 d,74.7 d,75.1 d,75.5 d,75.4 d,76.1 d
Annual,Upper secondary education,Percentage,Cyprus,5.0,4.6,4.8,4.6,2.6,2.4,4.2,4.2,3.6,3.7
Annual,Upper secondary education,Percentage,Czechia,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Upper secondary education,Percentage,Germany,42.1,40.9,41.1,40.7,40.7,42.2,42.4,43.2 d,43.9 d,44.1 d
Annual,Upper secondary education,Percentage,Denmark,:,21.2,23.3,24.5,24.3,24.8,25.3,26.1,24.2,24.4
Annual,Upper secondary education,Percentage,Estonia,54.0 d,51.1 d,71.1 d,67.8 d,67.7 d,66.3 d,65.4 d,62.9 d,64.9 d,63.8 d
Annual,Upper secondary education,Percentage,Greece,:,2.5,5.1,4.6,4.6,4.5,5.3,5.3,5.9,6.3
Annual,Upper secondary education,Percentage,Spain,10.9,12.6,13.1,13.9,13.8,14.6,15.7,14.5,15.5,14.7
Annual,Upper secondary education,Percentage,European Union - 27 countries (from 2020),:,24.3 d,26.4 d,25.2 d,25.6 d,36.9 d,26.0 d,25.6 d,25.1 d,25.1 d
Annual,Upper secondary education,Percentage,European Union - 28 countries (2013-2020),:,26.0 d,28.7 d,25.2 d,26.4 d,35.6 d,26.8 d,:,:,:
Annual,Upper secondary education,Percentage,Finland,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Upper secondary education,Percentage,France,13.3,14.5,12.7 d,11.8 d,11.8 d,11.6 d,11.4 d,11.4 d,11.2 d,11.5 d
Annual,Upper secondary education,Percentage,Croatia,54.5,47.8,54.6 d,55.5,54.1,54.2 d,53.7 d,55.3 d,55.6 d,51.9 d
Annual,Upper secondary education,Percentage,Hungary,22.3 d,22.7,22.0,22.7,25.0,26.7,27.1,27.7,27.2,28.0
Annual,Upper secondary education,Percentage,Ireland,:,:,:,:,:,: d,:,:,0.2 d,0.2 d
Annual,Upper secondary education,Percentage,Italy,20.7,20.5,20.7,16.6,18.1 d,17.7 d,18.0 d,17.5 d,17.4 d,17.7 d
Annual,Upper secondary education,Percentage,Liechtenstein,52.7,52.0,58.3,58.5,60.0,60.0,59.0,68.3,68.3,64.4
Annual,Upper secondary education,Percentage,Lithuania,38.5,38.0,38.9,39.3,39.7 d,45.3,53.9,49.1,47.1,46.2
Annual,Upper secondary education,Percentage,Luxembourg,17.6,16.7,16.0,18.3 d,13.9,14.0,13.1,16.0 d,25.1,21.9
