Time frequency,Demographic indicator,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Crude rate of natural change of population,Azerbaijan,12.9,12.6,12.0,11.6,10.5,8.8,8.2,8.5,5.0,3.5,6.1,5.2
Annual,Crude rate of natural change of population,Bosnia and Herzegovina,-0.9,-1.3,-1.5,:,-1.8,-2.0,-2.4 p,:,:,:,-4.2 p,-2.8 p
Annual,Crude rate of natural change of population,Belgium,1.7 b,1.5,1.8,1.0,1.2,0.9,0.7,0.8,-1.1,0.5,-0.2,0.0 p
Annual,Crude rate of natural change of population,Bulgaria,-5.5,-5.3,-5.8,-6.3,-6.2,-6.7,-6.9,-7.0,-10.0,-13.9,-9.6,-6.8
Annual,Crude rate of natural change of population,Belarus,-1.1,:,-0.3,-0.1,-0.2,-1.8,-2.7,-3.5,:,:,:,:
Annual,Crude rate of natural change of population,Switzerland,2.2,2.2,2.6,2.3,2.7,2.4,2.4,2.1,1.1,2.1,0.9,0.9 p
Annual,Crude rate of natural change of population,Cyprus,5.2,4.9,4.5,3.9,4.7,3.8,4.1,3.8,3.9,3.5,3.2,3.9 p
Annual,Crude rate of natural change of population,Czechia,0.0,-0.2,0.4,0.0,0.5,0.3,0.1,0.0,-1.8,-2.7 b,-1.8 b,-2.0
Annual,Crude rate of natural change of population,Germany,-2.4,-2.6,-1.9,-2.3,-1.4,-1.8,-2.0,-1.9,-2.6,-2.7,-3.9,-4.0 ep
Annual,Crude rate of natural change of population,Denmark,1.0,0.6,1.0,1.0,1.5,1.4,1.1,1.2,1.1,1.1,-0.2,-0.2
Annual,Crude rate of natural change of population,Euro area - 19 countries  (2015-2022),0.3 b,0.1 e,0.3 be,-0.4 be,-0.1,-0.6 bep,-0.9,-1.0 b,-2.2,-2.0 p,-2.6 p,-2.4 ep
Annual,Crude rate of natural change of population,Euro area – 20 countries (from 2023),0.2 b,0.0 e,0.2 be,-0.4 be,-0.2,-0.7 bep,-0.9,-1.0 b,-2.3,-2.1 p,-2.6 p,-2.4 ep
