Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 25 to 64 years,Total,Greece,14.2,15.2,8.9
Annual,Percentage,From 25 to 64 years,Total,Spain,21.1,32.7,34.3
Annual,Percentage,From 25 to 64 years,Total,European Union - 27 countries (from 2020),26.1,33.2,38.4
Annual,Percentage,From 25 to 64 years,Total,European Union - 28 countries (2013-2020),28.1,35.1,40.4
Annual,Percentage,From 25 to 64 years,Total,Finland,56.4,54.8,58.9
Annual,Percentage,From 25 to 64 years,Total,France,25.3,26.7,42.1
Annual,Percentage,From 25 to 64 years,Total,Croatia,22.8,21.6,26.6
Annual,Percentage,From 25 to 64 years,Total,Hungary,16.1,27.6,25.9
Annual,Percentage,From 25 to 64 years,Total,Ireland,39.9,47.2,52.8
Annual,Percentage,From 25 to 64 years,Total,Italy,19.7,26.6,31.1
Annual,Percentage,From 25 to 64 years,Total,Lithuania,23.3,25.0,33.4
Annual,Percentage,From 25 to 64 years,Total,Luxembourg,38.2,35.3,48.8
Annual,Percentage,From 25 to 64 years,Total,Latvia,21.4,29.3,35.6
Annual,Percentage,From 25 to 64 years,Total,Malta,36.8,31.7,40.6
Annual,Percentage,From 25 to 64 years,Total,Netherlands,34.2,52.7,54.3
Annual,Percentage,From 25 to 64 years,Total,Poland,27.9,34.7,39.4
Annual,Percentage,From 25 to 64 years,Total,Portugal,16.7,31.9,29.0
Annual,Percentage,From 25 to 64 years,Total,Romania,13.4,20.1,19.0
Annual,Percentage,From 25 to 64 years,Total,Sweden,57.3,51.7,48.8
Annual,Percentage,From 25 to 64 years,Total,Slovenia,42.0,49.8,45.4
Annual,Percentage,From 25 to 64 years,Total,Slovakia,34.6,37.1,47.6
Annual,Percentage,From 25 to 64 years,Total,United Kingdom,41.9,48.8,52.7
Annual,Percentage,From 55 to 64 years,Females,Austria,16.0,25.9,21.0
Annual,Percentage,From 55 to 64 years,Females,Belgium,29.3,39.9,42.5
Annual,Percentage,From 55 to 64 years,Females,Bulgaria,8.2,8.3,12.9
Annual,Percentage,From 55 to 64 years,Females,Cyprus,3.2 u,15.7,7.2
Annual,Percentage,From 55 to 64 years,Females,Czechia,19.4,40.6,48.8
Annual,Percentage,From 55 to 64 years,Females,Germany,19.0,38.1,37.7
Annual,Percentage,From 55 to 64 years,Females,Denmark,35.9,39.7,47.6
Annual,Percentage,From 55 to 64 years,Females,Estonia,32.8,41.2,49.5
