Time frequency,Unit of measure,Rail network segment (2010),Train category\Time,2010.0
Annual,Number,Jilava - Otopeni,Goods trains,884.0
Annual,Number,Jilava - Otopeni,Passenger trains,734.0
Annual,Number,Bacau - Pa?Cani,Goods trains,1834.0
Annual,Number,Bacau - Pa?Cani,Passenger trains,6915.0
Annual,Number,Ia?I - Pa?Cani,Goods trains,751.0
Annual,Number,Ia?I - Pa?Cani,Passenger trains,10808.0
Annual,Number,Titu - Pite?Ti,Goods trains,1539.0
Annual,Number,Titu - Pite?Ti,Passenger trains,2535.0
Annual,Number,Brazi - Ploiesti Sud,Goods trains,9901.0
Annual,Number,Brazi - Ploiesti Sud,Passenger trains,10405.0
Annual,Number,Râmnicu Vâlcea - Podu Olt (Talmaciu),Goods trains,1535.0
Annual,Number,Râmnicu Vâlcea - Podu Olt (Talmaciu),Passenger trains,6499.0
Annual,Number,Brazi - Predeal,Goods trains,4083.0
Annual,Number,Brazi - Predeal,Passenger trains,8155.0
Annual,Number,Videle - Ro?Iori,Goods trains,5766.0
Annual,Number,Videle - Ro?Iori,Passenger trains,8258.0
Annual,Number,Vâlcelele - Râmnicu Vâlcea,Goods trains,0.0
Annual,Number,Vâlcelele - Râmnicu Vâlcea,Passenger trains,0.0
Annual,Number,Dej - Satu Mare,Goods trains,1154.0
Annual,Number,Dej - Satu Mare,Passenger trains,2984.0
Annual,Number,Oradea - Satu Mare,Goods trains,1067.0
Annual,Number,Oradea - Satu Mare,Passenger trains,4090.0
Annual,Number,Adjud - Siculeni,Goods trains,1406.0
Annual,Number,Adjud - Siculeni,Passenger trains,3260.0
Annual,Number,Brasov - Sighisoara,Goods trains,3419.0
Annual,Number,Brasov - Sighisoara,Passenger trains,5855.0
Annual,Number,Coslariu - Simeria,Goods trains,3054.0
Annual,Number,Coslariu - Simeria,Passenger trains,9951.0
Annual,Number,Livezeni - Simeria,Goods trains,6687.0
Annual,Number,Livezeni - Simeria,Passenger trains,4503.0
Annual,Number,Border Ro/Srb - Stamora Moravita,Goods trains,981.0
Annual,Number,Border Ro/Srb - Stamora Moravita,Passenger trains,730.0
Annual,Number,Pa?Cani - Suceava,Goods trains,1602.0
