Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Iceland,5.0,30.0,25.0,25.0,30.0,0.0,20.0,0.0,10.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Italy,45.0,485.0,730.0,545.0,695.0,145.0,2085 d,355 d,580 d,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Liechtenstein,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Lithuania,0.0,15.0,30.0,10.0,0.0,0.0,10.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Luxembourg,30.0,25.0,90.0,0.0,5.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Latvia,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Malta,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Netherlands,215.0,335.0,1190.0,645.0,890.0,215.0,200.0,635.0,395.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Norway,1210.0,1930.0,1705.0,1400.0,1615.0,820.0,2005.0,1750.0,1250.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Portugal,20.0,5.0,95.0,20.0,175.0,110.0,5.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Romania,0.0,0.0,20.0,0.0,0.0,20.0,40.0,50.0,90.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Sweden,900.0,1020.0,1745.0,2585.0,2505.0,1800.0,3185.0,2440.0,285.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Slovenia,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,15.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,United Kingdom,925.0,2525.0,3090.0,2880.0,2675.0,:,:,:,:,:
