Time frequency,Unit of measure,Crops,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Almonds,Palestine*,0.9 e,4.9 e,5.3 e,6.2 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Almonds,Tunisia,43.0,56.0,58.0,51.5,60.0,52.0,61.0,70.0,52.0,66.7,70.5,61.0,67.0,:,:,:,:,:
Annual,Thousand tonnes,Oilseeds,Jordan,:,:,:,:,:,:,:,:,:,:,:,0.0,0.0,:,:,:,:,:
Annual,Thousand tonnes,Oilseeds,Lebanon,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1 e,:
Annual,Thousand tonnes,Oilseeds,Morocco,65.2,65.9,84.0,74.7,103.4,110.0,89.0,55.7,58.2,66.2,87.2,66.6,60.5,70.6,79.0,68.9,70.7,58.5 p
Annual,Thousand tonnes,Oilseeds,Palestine*,0.0 e,0.0 e,0.0 e,0.0 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Oilseeds,Tunisia,11.4,10.2,8.3,6.9,7.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Olives,Algeria,316.5,264.7,209.0,254.1,475.2,311.3,610.8,393.8,578.7,482.9,653.9,696.4,684.5,860.8,868.7,1079.5,704.6,:
Annual,Thousand tonnes,Olives,Egypt,314.5,544.6,507.1,480.1,449.0,390.9,459.7,563.1,541.8,565.7,699.0,875.0,1095.0,1084.0,981.0,968.0,:,:
Annual,Thousand tonnes,Olives,Israel,29.0,60.0,29.5,48.8,30.5,73.5,66.0,63.0,67.0,90.0,98.0,91.0,87.0,54.5,113.0,83.0,70.0,138.0
Annual,Thousand tonnes,Olives,Jordan,113.1 e,146.8 e,125.0 e,94.1 e,140.7 e,171.7 e,131.8 e,155.6 e,128.2 e,155.8,200.8 e,115.8,145.3,125.2,215.0,169.3,151.3,162.7
Annual,Thousand tonnes,Olives,Lebanon,76.5,177.3,76.2,120.8,85.2,:,:,:,:,:,176.7 e,157.6 e,153.0 e,:,:,:,122.1 e,:
Annual,Thousand tonnes,Olives,Libya,:,:,107519.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Olives,Morocco,478.1,571.8,584.4,661.8,803.4,1444.2,1405.2,1315.8,1181.7,1573.2,1144.3,1416.1,1039.1,1561.5,1912.2,1409.3,1590.5,1968.1 p
Annual,Thousand tonnes,Olives,Palestine*,85.8 de,137.8 d,50.6 de,85.7 de,:,:,75.5 d,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Olives,Tunisia,663.0,1075.5,915.0,1016.0,818.0,770.0,622.0,986.7,1125.0 p,537.0,1724.0,721.0,520.0,:,:,:,:,:
Annual,Thousand tonnes,Olives for table use,Algeria,85.7,68.5,81.8,91.1,98.3,135.9,192.8,145.8,174.9,208.4,233.5,221.3,292.8,:,299.7,:,:,:
Annual,Thousand tonnes,Olives for table use,Israel,9.0,22.0,14.0,18.8,15.5,21.0,16.0,16.0,17.0,25.0,23.0,21.0,22.0,17.0,18.0,23.0,10.0,18.0
Annual,Thousand tonnes,Olives for table use,Jordan,22.6 e,29.4 e,25.0 e,18.8 e,28.1 e,34.3 e,26.4 e,31.1 e,25.6 e,31.2,40.2 e,25.1,31.9,27.6,45.8,33.9,31.8,33.5
Annual,Thousand tonnes,Olives for table use,Libya,:,:,8069.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Olives for table use,Morocco,119.5 e,143.0 e,146.1 e,165.4 e,200.8 e,361.1 e,351.3 e,328.9 e,295.4 e,393.3 e,286.1 e,354.0 e,259.8 e,390.4 e,478.1 e,:,:,:
Annual,Thousand tonnes,Olives for table use,Palestine*,58.5 e,-21.3,14.5 e,9.3 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Olives for table use,Tunisia,13.0,25.5,15.0,16.0,18.0,20.0,22.0,24.0,25.0,137.0,24.0,21.0,20.0,:,:,:,:,:
Annual,Thousand tonnes,Olives for oil,Algeria,230.8,196.3,127.2,163.0,376.9,175.3,418.0,248.0,403.8,274.5,420.4,475.1,391.6,:,569.0,:,:,:
Annual,Thousand tonnes,Olives for oil,Israel,20.0,38.0,15.5,30.0,15.0,52.5,50.0,47.0,50.0,65.0,75.0,70.0,65.0,37.5,95.0,60.0,60.0,120.0
