Time frequency,Country/region of birth,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Foreign country,Year,Total,Lithuania,:,58.9,:
Annual,Foreign country,Year,Total,Luxembourg,:,42.8,:
Annual,Foreign country,Year,Total,Latvia,:,65.1,:
Annual,Foreign country,Year,Total,Malta,:,36.6 p,:
Annual,Foreign country,Year,Total,Netherlands,:,42.2,:
Annual,Foreign country,Year,Total,Norway,:,39.2,:
Annual,Foreign country,Year,Total,Poland,:,36.4 ep,37.1 ep
Annual,Foreign country,Year,Total,Portugal,:,43.3 bp,:
Annual,Foreign country,Year,Total,Romania,:,13.1 e,:
Annual,Foreign country,Year,Total,Sweden,:,40.8,:
Annual,Foreign country,Year,Total,Slovenia,:,47.7,:
Annual,Foreign country,Year,Total,Slovakia,:,47.4,:
Annual,Reporting country,Year,Females,Austria,:,46.0,:
Annual,Reporting country,Year,Females,Belgium,:,43.3,:
Annual,Reporting country,Year,Females,Bulgaria,:,47.5,:
Annual,Reporting country,Year,Females,Switzerland,:,42.6,:
Annual,Reporting country,Year,Females,Cyprus,:,42.0,:
Annual,Reporting country,Year,Females,Czechia,:,45.6 b,:
Annual,Reporting country,Year,Females,Germany,:,47.9 e,:
Annual,Reporting country,Year,Females,Denmark,:,44.4,:
Annual,Reporting country,Year,Females,Estonia,:,42.1,:
Annual,Reporting country,Year,Females,Greece,:,47.5,:
Annual,Reporting country,Year,Females,Spain,:,47.4,:
Annual,Reporting country,Year,Females,European Union - 27 countries (from 2020),:,46.2 bep,:
Annual,Reporting country,Year,Females,Finland,:,46.2,:
Annual,Reporting country,Year,Females,France,42.6,42.9 p,:
Annual,Reporting country,Year,Females,Croatia,:,45.1 b,:
Annual,Reporting country,Year,Females,Hungary,:,46.1,:
Annual,Reporting country,Year,Females,Ireland,:,39.8,:
Annual,Reporting country,Year,Females,Iceland,:,38.8,:
Annual,Reporting country,Year,Females,Italy,:,50.3,:
Annual,Reporting country,Year,Females,Liechtenstein,:,49.0,:
Annual,Reporting country,Year,Females,Lithuania,:,46.7,:
Annual,Reporting country,Year,Females,Luxembourg,:,35.0,:
Annual,Reporting country,Year,Females,Latvia,:,43.7,:
Annual,Reporting country,Year,Females,Malta,:,44.1 p,:
Annual,Reporting country,Year,Females,Netherlands,:,44.0,:
Annual,Reporting country,Year,Females,Norway,:,42.1,:
Annual,Reporting country,Year,Females,Poland,:,44.0 ep,44.4 ep
Annual,Reporting country,Year,Females,Portugal,:,49.2 bp,:
Annual,Reporting country,Year,Females,Romania,:,45.7 e,:
Annual,Reporting country,Year,Females,Sweden,:,41.7,:
Annual,Reporting country,Year,Females,Slovenia,:,45.8,:
Annual,Reporting country,Year,Females,Slovakia,:,43.0,:
Annual,Reporting country,Year,Males,Austria,:,42.6,:
Annual,Reporting country,Year,Males,Belgium,:,40.4,:
Annual,Reporting country,Year,Males,Bulgaria,:,43.5,:
Annual,Reporting country,Year,Males,Switzerland,:,39.9,:
Annual,Reporting country,Year,Males,Cyprus,:,38.8,:
Annual,Reporting country,Year,Males,Czechia,:,42.6 b,:
Annual,Reporting country,Year,Males,Germany,:,44.2 e,:
Annual,Reporting country,Year,Males,Denmark,:,41.8,:
Annual,Reporting country,Year,Males,Estonia,:,37.5,:
Annual,Reporting country,Year,Males,Greece,:,44.6,:
Annual,Reporting country,Year,Males,Spain,:,44.7,:
Annual,Reporting country,Year,Males,European Union - 27 countries (from 2020),:,42.9 bep,:
Annual,Reporting country,Year,Males,Finland,:,42.7,:
Annual,Reporting country,Year,Males,France,39.0,39.3 p,:
Annual,Reporting country,Year,Males,Croatia,:,41.3 b,:
Annual,Reporting country,Year,Males,Hungary,:,41.8,:
Annual,Reporting country,Year,Males,Ireland,:,37.9,:
Annual,Reporting country,Year,Males,Iceland,:,37.2,:
Annual,Reporting country,Year,Males,Italy,:,47.5,:
Annual,Reporting country,Year,Males,Liechtenstein,:,38.3,:
Annual,Reporting country,Year,Males,Lithuania,:,40.3,:
Annual,Reporting country,Year,Males,Luxembourg,:,32.3,:
Annual,Reporting country,Year,Males,Latvia,:,37.9,:
Annual,Reporting country,Year,Males,Malta,:,41.7 p,:
Annual,Reporting country,Year,Males,Netherlands,:,41.8,:
Annual,Reporting country,Year,Males,Norway,:,39.9,:
Annual,Reporting country,Year,Males,Poland,:,40.6 ep,41.0 ep
Annual,Reporting country,Year,Males,Portugal,:,45.7 bp,:
Annual,Reporting country,Year,Males,Romania,:,42.0 e,:
Annual,Reporting country,Year,Males,Sweden,:,39.6,:
Annual,Reporting country,Year,Males,Slovenia,:,42.6,:
Annual,Reporting country,Year,Males,Slovakia,:,40.2,:
Annual,Reporting country,Year,Total,Austria,:,44.3,:
Annual,Reporting country,Year,Total,Belgium,:,41.8,:
Annual,Reporting country,Year,Total,Bulgaria,:,45.5,:
Annual,Reporting country,Year,Total,Switzerland,:,41.2,:
Annual,Reporting country,Year,Total,Cyprus,:,40.4,:
Annual,Reporting country,Year,Total,Czechia,:,44.1 b,:
Annual,Reporting country,Year,Total,Germany,:,46.0 e,:
Annual,Reporting country,Year,Total,Denmark,:,43.1,:
Annual,Reporting country,Year,Total,Estonia,:,39.7,:
Annual,Reporting country,Year,Total,Greece,:,46.0,:
Annual,Reporting country,Year,Total,Spain,:,46.1,:
Annual,Reporting country,Year,Total,European Union - 27 countries (from 2020),:,44.5 bep,:
Annual,Reporting country,Year,Total,Finland,:,44.4,:
Annual,Reporting country,Year,Total,France,40.8,41.2 p,:
Annual,Reporting country,Year,Total,Croatia,:,43.2 b,:
Annual,Reporting country,Year,Total,Hungary,:,44.0,:
Annual,Reporting country,Year,Total,Ireland,:,38.9,:
Annual,Reporting country,Year,Total,Iceland,:,38.0,:
Annual,Reporting country,Year,Total,Italy,:,48.9,:
Annual,Reporting country,Year,Total,Liechtenstein,:,45.1,:
Annual,Reporting country,Year,Total,Lithuania,:,43.6,:
Annual,Reporting country,Year,Total,Luxembourg,:,33.6,:
Annual,Reporting country,Year,Total,Latvia,:,40.6,:
Annual,Reporting country,Year,Total,Malta,:,42.9 p,:
Annual,Reporting country,Year,Total,Netherlands,:,42.9,:
Annual,Reporting country,Year,Total,Norway,:,41.0,:
Annual,Reporting country,Year,Total,Poland,:,42.3 ep,42.7 ep
Annual,Reporting country,Year,Total,Portugal,:,47.5 bp,:
Annual,Reporting country,Year,Total,Romania,:,43.8 e,:
Annual,Reporting country,Year,Total,Sweden,:,40.6,:
Annual,Reporting country,Year,Total,Slovenia,:,44.1,:
Annual,Reporting country,Year,Total,Slovakia,:,41.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Austria,:,43.1,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Belgium,:,41.6,:
Annual,Non-EU27 countries (from 2020) nor reporting country,Year,Females,Bulgaria,:,40.6,:
