domain,code,measure
"People, Work & Living Conditions",earn_gr_gpgr2wt,"Gender pay gap in unadjusted form by working time - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology"
"People, Work & Living Conditions",earn_gr_hgpg,Gender pay gap in unadjusted form -
"People, Work & Living Conditions",earn_mw_avgr1,Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 1.1
"People, Work & Living Conditions",earn_mw_avgr2,Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 2 (from onwards)
"People, Work & Living Conditions",earn_nt_lowwtrp,Tax rate on low wage earners - Low wage trap
"People, Work & Living Conditions",earn_nt_netft,Annual net earnings of a full-time single worker without children earning an average wage
"People, Work & Living Conditions",earn_nt_taxwedge,Tax rate on low wage earners: Tax wedge on labour costs
"People, Work & Living Conditions",earn_nt_unemtrp,Tax rate on low wage earners - Unemployment trap
"People, Work & Living Conditions",earn_ses06_rann,"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L"
"People, Work & Living Conditions",earn_ses06_rhr,"Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L"
"People, Work & Living Conditions",earn_ses10_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses10_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses10_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses10_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses10_rann,"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses10_rhr,"Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses14_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses14_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses14_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses14_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses14_rann,"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses18_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses18_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses18_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses18_rann,"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
"People, Work & Living Conditions",earn_ses_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
"People, Work & Living Conditions",earn_ses_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
"People, Work & Living Conditions",earn_ses_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
"People, Work & Living Conditions",earn_ses_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
"People, Work & Living Conditions",earn_ses_pub1a,Low-wage earners as a proportion of all employees (excluding apprentices) by age
"People, Work & Living Conditions",earn_ses_pub1a$dv_352,Low-wage earners as a proportion of all employees (excluding apprentices) by age
"People, Work & Living Conditions",earn_ses_pub1i,Low-wage earners as a proportion of all employees (excluding apprentices) by educational attainment level
"People, Work & Living Conditions",earn_ses_pub1i$dv_353,Low-wage earners as a proportion of all employees (excluding apprentices) by educational attainment level
"People, Work & Living Conditions",earn_ses_pub1s,Low-wage earners as a proportion of all employees (excluding apprentices) by sex
"People, Work & Living Conditions",earn_ses_pub1s$dv_354,Low-wage earners as a proportion of all employees (excluding apprentices) by sex
"People, Work & Living Conditions",earn_ses_pub1t,Low-wage earners as a proportion of all employees (excluding apprentices) by employment contract
"People, Work & Living Conditions",earn_ses_pub2a$dv_1880,"Median hourly earnings, all employees (excluding apprentices) by age"
"People, Work & Living Conditions",earn_ses_pub2s,"Median hourly earnings, all employees (excluding apprentices) by sex"
"People, Work & Living Conditions",earn_ses_pub2s$dv_1879,"Median hourly earnings, all employees (excluding apprentices) by sex"
"People, Work & Living Conditions",edat_lfse_03$dv_598,"Population by educational attainment level, sex and age (%) - main indicators"
"People, Work & Living Conditions",edat_lfse_20$dv_1101,"Young people neither in employment nor in education and training by sex, age and labour status (NEET rates)"
"People, Work & Living Conditions",edat_lfso_00t2,Employed in service sector and occupational status of recent school-leavers
"People, Work & Living Conditions",edat_lfso_00t5,Job mismatches and their labour market effects among school-leavers in Europe
"People, Work & Living Conditions",egi_em1,Employment in Foreign Controlled Enterprises
"People, Work & Living Conditions",egi_em2,Employment in Foreign Affiliates of Domestic Enterprises
"People, Work & Living Conditions",enpe_ilc_di11,Income quintile share ratio - S80/S20
"People, Work & Living Conditions",enpe_ilc_li01,"Relative poverty threshold after social transfers, income per month"
"People, Work & Living Conditions",enpe_ilc_li09,"Proportion of persons at risk of relative poverty, before social transfers by sex"
"People, Work & Living Conditions",enpe_lfsa_argaed,Activity rates by sex and age
"People, Work & Living Conditions",enpe_lfsa_ergan,Employment and employment rates 20-64 years old by sex
"People, Work & Living Conditions",enpe_lfsa_urgan,Unemployment rates by sex and age
"People, Work & Living Conditions",enpe_lfsa_urgan2,Long-term unemployment rates by sex
"People, Work & Living Conditions",enpe_nama_10_pe,Employment growth (domestic concept)
"People, Work & Living Conditions",enpe_nama_10_ulc,Nominal unit labour cost growth
"People, Work & Living Conditions",enpe_spr_exp,Social protection expenditure excluding administrative costs (including health expenditure) as a share of GDP
"People, Work & Living Conditions",enpe_wg_m,Average nominal monthly wages and salaries
"People, Work & Living Conditions",enps_demo_dens,Population density
"People, Work & Living Conditions",enps_demo_frate1,fertility rate
"People, Work & Living Conditions",enps_demo_gind,"Crude rate of birth, of dead and of population change"
"People, Work & Living Conditions",enps_demo_nind,Mean age at first marriage by sex
"People, Work & Living Conditions",enps_demo_pjangry,Average population mid-year by sex and age group
"People, Work & Living Conditions",enps_env_wat_cov,Population connected to public water supply
"People, Work & Living Conditions",enps_env_ww_con,Population connected to wastewater collection and treatment systems
"People, Work & Living Conditions",enps_ilc_di11,Income quintile share ratio - S80/S20
"People, Work & Living Conditions",enps_ilc_natln,Poverty headcount ratio by sex: proportion of persons below the national poverty line
"People, Work & Living Conditions",enps_ilc_sanit,Households with sustainable access to improved sanitation by simplified degree of urbanisation
"People, Work & Living Conditions",enps_ilc_secure,Households with access to secure tenure by simplified degree of urbanisation
"People, Work & Living Conditions",enps_lfsa_argaed,Activity rates 15-64 years old by sex
"People, Work & Living Conditions",enps_lfsa_egaps,Employment by professional status
"People, Work & Living Conditions",enps_lfsa_ergan,Employment rates 15-64 years old by sex
"People, Work & Living Conditions",enps_lfsa_pganws,employment by age group
"People, Work & Living Conditions",enps_lfsa_urgan,Unemployment rates by sex and age
"People, Work & Living Conditions",env_wat_pop,Population connected to public water supply
"People, Work & Living Conditions",eq_fer05,Live births
"People, Work & Living Conditions",eq_pop02,Population structure by sex
"People, Work & Living Conditions",eq_pop03,Population structure by detailed age group
"People, Work & Living Conditions",eq_pop04,Median age by sex
"People, Work & Living Conditions",gov_10a_emp,General government employment
"People, Work & Living Conditions",hbs_exp_t111,Mean consumption expenditure per household and per adult equivalent
"People, Work & Living Conditions",hbs_exp_t132,Mean consumption expenditure by number of active persons
"People, Work & Living Conditions",hlth_db_emasne,Percentage distribution of assistance needed by not employed disabled people by sex
"People, Work & Living Conditions",hlth_db_emasnt,Percentage distribution of types of assistance needed by not employed disabled people by sex
"People, Work & Living Conditions",hlth_db_emaspr,Percentage distribution of assistance provided to employed disabled people by sex
"People, Work & Living Conditions",hlth_db_emaspt,Percentage distribution of types of assistance provided to employed disabled people by sex
"People, Work & Living Conditions",hlth_dhc140$dv_2681,"Inability to keep home adequately warm by level of disability (activity limitation), sex and age"
"People, Work & Living Conditions",hlth_ehis_bm1e$dv_309,"Body mass index (BMI) by sex, age and educational attainment level"
"People, Work & Living Conditions",hlth_ehis_bm1i$dv_306,"Body mass index (BMI) by sex, age and income quintile"
"People, Work & Living Conditions",icw_car_01,Distribution of households by age of the reference person - experimental statistics
"People, Work & Living Conditions",icw_car_02,Distribution of households by household type - experimental statistics
"People, Work & Living Conditions",icw_car_04,Distribution of households by activity status of the reference person - experimental statistics
"People, Work & Living Conditions",icw_sr_02,Median saving rate by household type - experimental statistics
"People, Work & Living Conditions",icw_sr_03,Median saving rate by income quintile - experimental statistics
"People, Work & Living Conditions",icw_sr_05,Gini coefficient on household population - experimental statistics
"People, Work & Living Conditions",icw_sr_09,Aggregate propensity to consume by household type - experimental statistics
"People, Work & Living Conditions",icw_sr_10,Aggregate propensity to consume by income quintile - experimental statistics
"People, Work & Living Conditions",icw_sr_12,Median saving rate by the self-declared level of difficulty to make ends meet - experimental statistics
"People, Work & Living Conditions",icw_sr_13,Median saving rate by degree of urbanisation - experimental statistics
"People, Work & Living Conditions",icw_sr_14,Aggregate propensity to consume by degree of urbanisation - experimental statistics
"People, Work & Living Conditions",icw_sr_15,Median saving rate by activity status of the reference person - experimental statistics
"People, Work & Living Conditions",icw_sr_16,Aggregate propensity to consume by activity status of the reference person - experimental statistics
"People, Work & Living Conditions",ilc_camdforg0,Median number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey
"People, Work & Living Conditions",ilc_camdothg0,Median number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey
"People, Work & Living Conditions",ilc_camnforall,Average number of weekly hours of formal care by age group - children with or without formal care - EU-SILC survey
"People, Work & Living Conditions",ilc_camnforg0,Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey
"People, Work & Living Conditions",ilc_camnothall,Average number of weekly hours of other types of care by age group - children with or without other types of care - EU-SILC survey
"People, Work & Living Conditions",ilc_camnothg0,Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey
"People, Work & Living Conditions",ilc_caparents,Children cared only by their parents by age group - % over the population of each age group - EU-SILC survey
"People, Work & Living Conditions",ilc_chmd01,Child specific material deprivation rate by age (children aged less than 16 years)
"People, Work & Living Conditions",ilc_chmd02,Child specific material deprivation rate by household composition (children aged less than 16 years)
"People, Work & Living Conditions",ilc_chmd03,Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years)
"People, Work & Living Conditions",ilc_chmd04,Mean number of deprivation items among the children deprived (children aged less than 16 years)
"People, Work & Living Conditions",ilc_chsb01,Children having one of their parents living outside the household
"People, Work & Living Conditions",ilc_chsb02,Parents spending enough time with children living with them
"People, Work & Living Conditions",ilc_di11_r,Income quintile share ratio S80/S20 by NUTS 2 regions - EU-SILC survey
"People, Work & Living Conditions",ilc_di11g,Effect of taxes on income quintile share ratio S80/S20
"People, Work & Living Conditions",ilc_di11h,Effect of social transfers on income quintile share ratio S80/S20
"People, Work & Living Conditions",ilc_di11i,Effect of taxes and social transfers on income quintile share ratio S80/S20
"People, Work & Living Conditions",ilc_di12,Gini coefficient of equivalised disposable income by age
"People, Work & Living Conditions",ilc_di12b,Gini coefficient of equivalised disposable income before social transfers (pensions included in social transfers)
"People, Work & Living Conditions",ilc_di12c,Gini coefficient of equivalised disposable income before social transfers (pensions excluded from social transfers)
"People, Work & Living Conditions",ilc_di18,Income in real terms SILC=100)
"People, Work & Living Conditions",ilc_hch16$dv_2262,"Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level"
"People, Work & Living Conditions",ilc_hch17$dv_2261,"Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile"
"People, Work & Living Conditions",ilc_hch18$dv_2263,"Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization"
"People, Work & Living Conditions",ilc_hch19$dv_2264,"Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold"
"People, Work & Living Conditions",ilc_igtp03,At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents
"People, Work & Living Conditions",ilc_igtp04,At-risk-of poverty rate for adults (aged 25 to 59 years) by level of financial situation of their households when respondent was around 14 years old
"People, Work & Living Conditions",ilc_iw02$dv_2665,In-work at-risk-of-poverty rate by household type - EU-SILC survey
"People, Work & Living Conditions",ilc_iw04,In-work at-risk-of-poverty rate by educational attainment level - EU-SILC survey
"People, Work & Living Conditions",ilc_iw06,In-work at-risk-of-poverty rate by months worked - EU-SILC survey
"People, Work & Living Conditions",ilc_iw07,In-work at-risk-of-poverty rate by full-/part-time work - EU-SILC survey
"People, Work & Living Conditions",ilc_li02$dv_548,"At-risk-of-poverty rate by poverty threshold, age and sex - EU-SILC and ECHP surveys"
"People, Work & Living Conditions",ilc_li11$dv_2662,Relative at risk of poverty gap by poverty threshold - EU-SILC and ECHP surveys
"People, Work & Living Conditions",ilc_li12,Relative poverty gap by risk of poverty and work intensity of the household
"People, Work & Living Conditions",ilc_li13,Relative poverty gap by risk of poverty and work intensity of the households with income from benefits
"People, Work & Living Conditions",ilc_li21$dv_2663,Persistent at-risk-of-poverty rate by sex and age - EU-SILC and ECHP surveys
"People, Work & Living Conditions",ilc_li22$dv_2664,At-risk-of-poverty rate anchored at a fixed moment in time by age and sex - EU-SILC survey
"People, Work & Living Conditions",ilc_li33,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years)
"People, Work & Living Conditions",ilc_li33$dv_1983,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years)
"People, Work & Living Conditions",ilc_li34,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years)
"People, Work & Living Conditions",ilc_li34$dv_1982,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years)
"People, Work & Living Conditions",ilc_li48,At-risk-of-poverty rate after deducting housing costs by degree of urbanisation
"People, Work & Living Conditions",ilc_li70,Persons receiving benefits (other than old age benefits) by risk of poverty and work intensity of the household (population aged 18-64)
"People, Work & Living Conditions",ilc_lvhd01,Persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation
"People, Work & Living Conditions",ilc_lvhd02,Persons having experienced housing difficulties in their life by sex and type of temporary solution (effect)
"People, Work & Living Conditions",ilc_lvhd03,Persons having experienced housing difficulties in their life by sex and group of country of birth
"People, Work & Living Conditions",ilc_lvhd04,Persons having experienced housing difficulties in their life by sex and group of current country of citizenship
"People, Work & Living Conditions",ilc_lvhd06,Persons having overcome housing difficulties experienced in their life by sex and reason
"People, Work & Living Conditions",ilc_lvhl11n$dv_1181,Persons living in households with very low work intensity by age and sex (population aged 0 to 64 years)
"People, Work & Living Conditions",ilc_lvhl21n,Persons living in households with very low work intensity by NUTS regions (population aged 0 to 64 years)
"People, Work & Living Conditions",ilc_lvhl23n,Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 64 years) - strategy
"People, Work & Living Conditions",ilc_lvhl30$dv_1323,Labour transitions by employment status
"People, Work & Living Conditions",ilc_lvhl36,Labour transitions from temporary to permanent contracts by sex -3-year average
"People, Work & Living Conditions",ilc_lvho03h,Average number of rooms per person by tenure status and dwelling type until - ECHP survey
"People, Work & Living Conditions",ilc_lvho04d,Average number of rooms per person by degree of urbanization
"People, Work & Living Conditions",ilc_lvho04n,Average number of rooms per person by NUTS region
"People, Work & Living Conditions",ilc_lvho05a$dv_1185,"Overcrowding rate by age, sex and poverty status - total population - EU-SILC survey"
"People, Work & Living Conditions",ilc_lvho05a$dv_2685,"Overcrowding rate by age, sex and poverty status - total population - EU-SILC survey"
"People, Work & Living Conditions",ilc_lvho05c,Overcrowding rate by tenure status - total population - EU-SILC survey
"People, Work & Living Conditions",ilc_lvho05d,Overcrowding rate by degree of urbanisation - total population - EU-SILC survey
"People, Work & Living Conditions",ilc_lvho07_r,Housing cost overburden rate by NUTS regions
"People, Work & Living Conditions",ilc_lvho07b,Housing cost overburden rate by income quintile - EU-SILC survey
"People, Work & Living Conditions",ilc_lvho07c,Housing cost overburden rate by tenure status - EU-SILC survey
"People, Work & Living Conditions",ilc_lvho07d,Housing cost overburden rate by degree of urbanisation - EU-SILC survey
"People, Work & Living Conditions",ilc_lvho08b,Median of the housing cost burden distribution by degree of urbanisation - EU-SILC survey
"People, Work & Living Conditions",ilc_lvho50c,Share of people living in under-occupied dwellings by tenure status - total population - EU-SILC survey
"People, Work & Living Conditions",ilc_lvho50d,Share of people living in under-occupied dwellings by degree of urbanisation - total population - EU-SILC survey
"People, Work & Living Conditions",ilc_lvph01,Average household size - EU-SILC survey
"People, Work & Living Conditions",ilc_lvph02h,Distribution of households by household type until - ECHP survey
"People, Work & Living Conditions",ilc_lvph03,Distribution of households by household size - EU-SILC survey
"People, Work & Living Conditions",ilc_lvph05,Distribution of households with children by number of children - EU-SILC survey
"People, Work & Living Conditions",ilc_lvps08$dv_1041,Persons living with their parents or contributing/benefiting from the household income (population aged 18 to 34 years)
"People, Work & Living Conditions",ilc_lvps20,Share of children (aged less than 18) living with their parents by type of household - EU-SILC survey
"People, Work & Living Conditions",ilc_mddd04b$dv_2721,"Material deprivation for the 'Housing' dimension, by age, sex and by number of item of deprivation - EU-SILC survey"
"People, Work & Living Conditions",ilc_mddd11$dv_655,Severe material deprivation rate by age and sex
"People, Work & Living Conditions",ilc_mddd17,Severe material deprivation rate by tenure status
"People, Work & Living Conditions",ilc_mddd21,Severe material deprivation rate by NUTS regions
"People, Work & Living Conditions",ilc_mdes01_r,Inability to keep home adequately warm by NUTS regions
"People, Work & Living Conditions",ilc_mdes03$dv_2702,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day - EU-SILC survey"
"People, Work & Living Conditions",ilc_mdes03_r,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS regions"
"People, Work & Living Conditions",ilc_mdho02c,"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey"
"People, Work & Living Conditions",ilc_mdho03c,Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey
"People, Work & Living Conditions",ilc_mdho06a$dv_1184,"Severe housing deprivation rate by age, sex and poverty status - EU-SILC survey"
"People, Work & Living Conditions",ilc_mdho06a$dv_2701,"Severe housing deprivation rate by age, sex and poverty status - EU-SILC survey"
"People, Work & Living Conditions",ilc_mdho06d,Severe housing deprivation rate by degree of urbanisation - EU-SILC survey
"People, Work & Living Conditions",ilc_mdho06q,Severe housing deprivation rate by income quintile - EU-SILC survey
"People, Work & Living Conditions",ilc_mdsd03$dv_1165,"Material and social deprivation rate by age, sex and educational attainment level"
"People, Work & Living Conditions",ilc_mdsd06,Material and social deprivation rate by tenure status
"People, Work & Living Conditions",ilc_mdsd07$dv_2621,Material and social deprivation rate by age and sex
"People, Work & Living Conditions",ilc_mdsd08,Material and social deprivation rate by NUTS regions
"People, Work & Living Conditions",ilc_mdsd09,Material and social deprivation rate by degree of urbanisation
"People, Work & Living Conditions",ilc_mdsd18,Severe material and social deprivation by NUTS region
"People, Work & Living Conditions",ilc_odbt01,Arrears on non-housing bills by risk of poverty threshold
"People, Work & Living Conditions",ilc_odbt02,Arrears on non-housing bills by income quintile
"People, Work & Living Conditions",ilc_odbt03,Loans (excluding mortgages on purchase of main residence) by risk of poverty threshold
"People, Work & Living Conditions",ilc_odbt04,Loans (excluding mortgages on purchase of main residence) by income quintile
"People, Work & Living Conditions",ilc_odbt05,Persons with loans for property purposes by risk of poverty threshold
"People, Work & Living Conditions",ilc_odbt06,Persons with loans for transport purposes by risk of poverty threshold
"People, Work & Living Conditions",ilc_odbt07,Persons with loans for education purposes by risk of poverty threshold
"People, Work & Living Conditions",ilc_odbt08,Persons with loans to cover daily living expenses by risk of poverty threshold
"People, Work & Living Conditions",ilc_odbt09,"Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold"
"People, Work & Living Conditions",ilc_odbt12,Persons owning real estate other than main residence by risk of poverty threshold
"People, Work & Living Conditions",ilc_odbt13,Persons owning real estate other than main residence by income quantile
"People, Work & Living Conditions",ilc_odbt14,Households maintaining the same standard of living using savings by duration and risk of poverty threshold
"People, Work & Living Conditions",ilc_pecs01,Persons at risk of poverty or social exclusion - EU2030 target
"People, Work & Living Conditions",ilc_peps01n$dv_1161,Persons at risk of poverty or social exclusion by age and sex
"People, Work & Living Conditions",ilc_peps07,Persons at risk of poverty or social exclusion by tenure status - strategy
"People, Work & Living Conditions",ilc_peps07n,Persons at risk of poverty or social exclusion by tenure status
"People, Work & Living Conditions",ilc_peps11,Persons at risk of poverty or social exclusion by NUTS regions - strategy
"People, Work & Living Conditions",ilc_peps11n,Persons at risk of poverty or social exclusion by NUTS regions
"People, Work & Living Conditions",ilc_peps13n,Persons at risk of poverty or social exclusion by degree of urbanisation
"People, Work & Living Conditions",ilc_pnp11,Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits) - EU-SILC survey
"People, Work & Living Conditions",ilc_pnp12,Gender differences in the at-risk-of-poverty rate by age - EU-SILC survey
"People, Work & Living Conditions",ilc_pnp13,Gender pension gap by age group – EU-SILC survey
"People, Work & Living Conditions",ilc_pnp14,Gender coverage rate in pension by age group – EU-SILC survey
"People, Work & Living Conditions",ilc_pnp2,Relative median income ratio (65+) - EU-SILC and ECHP surveys
"People, Work & Living Conditions",ilc_pnp2$dv_1988,Relative median income ratio (65+) - EU-SILC and ECHP surveys
"People, Work & Living Conditions",ilc_pnp3,Aggregate replacement ratio for pensions (excluding other social benefits) by sex - EU-SILC survey
"People, Work & Living Conditions",ilc_pns2,Relative median income ratio (60+) - EU-SILC survey
"People, Work & Living Conditions",ilc_pns4,Inequality of income distribution S80/S20 income quintile share ratio - EU-SILC and ECHP surveys
"People, Work & Living Conditions",ilc_pns5,Relative median at-risk-of-poverty gap of elderly people - EU-SILC and ECHP surveys
"People, Work & Living Conditions",ilc_pw03$dv_2762,"Trust in others by sex, age and educational attainment"
"People, Work & Living Conditions",ilc_pw05b$dv_2766,"Persons rating their life satisfaction as high, medium or low by sex, age, educational attainment and domain"
"People, Work & Living Conditions",ilc_pw08$dv_426,"Persons being happy in the last 4 weeks by sex, age, educational attainment and frequency"
"People, Work & Living Conditions",ilc_pw15$dv_2750,"Satisfaction with the job by sex, age and educational attainment"
"People, Work & Living Conditions",ilc_sbjp02,Subjective poverty by educational attainment level (population aged 18 and over)
"People, Work & Living Conditions",ilc_sbjp04,Subjective poverty by tenure status
"People, Work & Living Conditions",ilc_sbjp05,Subjective poverty by degree of urbanization
"People, Work & Living Conditions",ilc_scp01$dv_1061,"Persons participating in any cultural or sport activities in the last 12 months by sex, age and educational attainment"
"People, Work & Living Conditions",ilc_scp03$dv_1062,"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency"
"People, Work & Living Conditions",ilc_scp03$dv_552,"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency"
"People, Work & Living Conditions",ilc_scp10$dv_2744,"Persons getting together with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency"
"People, Work & Living Conditions",ilc_scp12$dv_2746,"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency"
"People, Work & Living Conditions",ilc_scp15$dv_433,"Persons having someone to ask for help by sex, age and educational attainment"
"People, Work & Living Conditions",ilc_scp17$dv_434,"Persons having someone to discuss personal matters by sex, age and educational attainment"
"People, Work & Living Conditions",ilc_scp19$dv_312,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment"
"People, Work & Living Conditions",ilc_scp19$dv_313,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment"
"People, Work & Living Conditions",ilc_scp20$dv_2747,"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation"
"People, Work & Living Conditions",ilc_scp31$dv_2383,"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books"
"People, Work & Living Conditions",ilc_scp33$dv_2541,"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books"
"People, Work & Living Conditions",ilc_scp37$dv_2543,"Persons participating in cultural or sport activities by sex, age, level of disability (activity limitation), activity type and frequency"
"People, Work & Living Conditions",ilc_scp39$dv_2548,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age, level of disability (activity limitation) and activity type"
"People, Work & Living Conditions",isoc_sk_oja2,"Labour market demand for ICT specialists in online job advertisements, by occupation (ISCO-08) - % of online job advertisements for ICT specialists - experimental statistics"
"People, Work & Living Conditions",isoc_ski_itsex,Employed persons with ICT education by sex
"People, Work & Living Conditions",isoc_sks_itspa,Employed ICT specialists by age
"People, Work & Living Conditions",isoc_sks_itspa$dv_1847,Employed ICT specialists by age
"People, Work & Living Conditions",isoc_sks_itsps,Employed ICT specialists by sex
"People, Work & Living Conditions",isoc_sks_itsps$dv_1846,Employed ICT specialists by sex
"People, Work & Living Conditions",isoc_sks_itspt,Employed ICT specialists - total
"People, Work & Living Conditions",iss_18sojobn,Jobs created by NACE Rev.2 activity - experimental statistics
"People, Work & Living Conditions",lan_settl,Settlement area
"People, Work & Living Conditions",lfsa_eppgai$dv_577,"Involuntary part-time employment as percentage of the total part-time employment, by sex and age (%)"
"People, Work & Living Conditions",lfsa_ergaed$dv_319,"Employment rates by sex, age and educational attainment level (%)"
"People, Work & Living Conditions",lfsa_ewpeve$dv_604,"Employed persons working in the evenings as a percentage of the total employment, by sex, age and professional status (%)"
"People, Work & Living Conditions",lfsa_ewpnig$dv_605,"Employed persons working at nights as a percentage of the total employment, by sex, age and professional status (%)"
"People, Work & Living Conditions",lfsa_ewpsat$dv_606,"Employed persons working on Saturdays as a percentage of the total employment, by sex, age and professional status (%)"
"People, Work & Living Conditions",lfsa_ewpsun$dv_607,"Employed persons working on Sundays as a percentage of the total employment, by sex, age and professional status (%)"
"People, Work & Living Conditions",lfsa_ipga$dv_610,"Inactive population as a percentage of the total population, by sex and age (%)"
"People, Work & Living Conditions",lfsa_qoe_3a2$dv_608,"Long working hours in main job by sex, age, professional status and occupation"
"People, Work & Living Conditions",lfsa_urgaed$dv_611,"Unemployment rates by sex, age and educational attainment level (%)"
"People, Work & Living Conditions",lfsi_dwl_a,Duration of working life
"People, Work & Living Conditions",lfsi_jhh_a,Population in jobless households
"People, Work & Living Conditions",lfsi_long_e08,"Transition from part-time work to full-time work by sex and age (annual averages of quarterly transitions, estimated probabilities) - experimental statistics"
"People, Work & Living Conditions",lfsi_long_e09,"Transition from fixed term contracts to permanent contracts by sex and age (annual averages of quarterly transitions, estimated probabilities) - experimental statistics"
"People, Work & Living Conditions",lfso_06finiagps,Average age at which employed persons started receiving a retirement pension - by sex and main financial incentive to stay at work
"People, Work & Living Conditions",lfso_10fvaredu$dv_609,Employees by flexibility of their working schedule and educational attainment level (1 000)
