measure,domain
Long-term unemployment rate by sex,"People, Work & Living Conditions"
"Long-term unemployment rate, % of active population aged 15-74","People, Work & Living Conditions"
"Long working hours in main job by sex, age, professional status and occupation","People, Work & Living Conditions"
"Low achieving 15-year-olds in reading, mathematics or science",Learning & Education
"Low achieving 15-year-olds in reading, mathematics or science by sex",Learning & Education
Low-wage earners as a proportion of all employees (excluding apprentices) by age,"People, Work & Living Conditions"
Low-wage earners as a proportion of all employees (excluding apprentices) by educational attainment level,"People, Work & Living Conditions"
Low-wage earners as a proportion of all employees (excluding apprentices) by employment contract,"People, Work & Living Conditions"
Low-wage earners as a proportion of all employees (excluding apprentices) by sex,"People, Work & Living Conditions"
Main farm land use,Environment & Natural Resources and Production
Main flows,Money & Markets
Management of waste,Environment & Natural Resources and Production
Marine waters affected by eutrophication,Environment & Natural Resources and Production
Maritime goods short-sea shipping performed in the Exclusive Economic Zone of the countries,Transports
Maritime goods transport performed in the Exclusive Economic Zone of the countries,Transports
Maritime passenger transport performed in the Exclusive Economic Zone of the countries,Transports
Maritime traffic: passengers and freight,Transports
Maritime traffic: ship movements,Transports
Maritime accident victims by sea basin of occurrence and country of registration of vessels,Transports
"Maritime accident victims by sea basin of occurrence, country of registration of vessels and type of vessels",Transports
Maritime equipment - carrying capacity of ships of 1 000 grt and over,Transports
Maritime equipment - carrying capacity of ships of 300 grt and over,Transports
Maritime equipment - number of ships of 1 000 grt and over,Transports
Maritime equipment - number of ships of 300 grt and over,Transports
Maritime transport infrastructure: ports,Transports
Maritime transport of freight by NUTS 2 regions,Transports
Maritime transport of passengers by NUTS 2 regions,Transports
Market production - annual data,Money & Markets
Market share of the largest generator in the electricity market,Money & Markets
Material Deprivation rate by age group - EU-SILC survey,"People, Work & Living Conditions"
Material Deprivation rate by sex - EU-SILC survey,"People, Work & Living Conditions"
Material and social deprivation rate by NUTS regions,"People, Work & Living Conditions"
Material and social deprivation rate by age and sex,"People, Work & Living Conditions"
"Material and social deprivation rate by age, sex and educational attainment level","People, Work & Living Conditions"
Material and social deprivation rate by degree of urbanisation,"People, Work & Living Conditions"
Material and social deprivation rate by tenure status,"People, Work & Living Conditions"
"Material deprivation for the 'Housing' dimension, by age, sex and by number of item of deprivation - EU-SILC survey","People, Work & Living Conditions"
Material footprint,Environment & Natural Resources and Production
Material import dependency,Money & Markets
Mean age at first marriage by sex,"People, Work & Living Conditions"
Mean age of women at childbirth and at birth of first child,"People, Work & Living Conditions"
"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions"
"Mean annual earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions"
Mean consumption expenditure by number of active persons,"People, Work & Living Conditions"
Mean consumption expenditure of private households on cultural goods and services by income quintile,"People, Work & Living Conditions"
Mean consumption expenditure of private households on sporting goods and services by income quintile,"People, Work & Living Conditions"
Mean consumption expenditure per household and per adult equivalent,"People, Work & Living Conditions"
Mean duration of commuting time one-way between work and home by sex and age,Transports
"Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions"
"Mean hourly earnings by NUTS 1 regions (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions"
Mean instruction hours per employed participant in non-formal education and training by sex and NACE Rev. 1.1 activity,Learning & Education
Mean instruction hours per employed participant in non-formal education and training by sex and occupation,Learning & Education
Mean instruction hours per participant in non-formal education and training by field of learning,Learning & Education
Mean instruction hours per participant in non-formal education and training by sex and age,Learning & Education
Mean instruction hours per participant in non-formal education and training by sex and labour status,Learning & Education
Mean number of deprivation items among the children deprived (children aged less than 16 years),"People, Work & Living Conditions"
Meat (total production),Environment & Natural Resources and Production
Meat production,Environment & Natural Resources and Production
Median relative income of elderly people (60+) - EU-SILC survey,"People, Work & Living Conditions"
Median relative income of elderly people - EU-SILC survey,"People, Work & Living Conditions"
Median age by sex,"People, Work & Living Conditions"
Median age of residents by sex and country of birth,"People, Work & Living Conditions"
"Median hourly earnings, all employees (excluding apprentices) by age","People, Work & Living Conditions"
"Median hourly earnings, all employees (excluding apprentices) by sex","People, Work & Living Conditions"
Median number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey,"People, Work & Living Conditions"
Median number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey,"People, Work & Living Conditions"
Median of the housing cost burden distribution by age group - EU-SILC survey,"People, Work & Living Conditions"
Median of the housing cost burden distribution by degree of urbanisation - EU-SILC survey,"People, Work & Living Conditions"
Median of the housing cost burden distribution by poverty status - EU-SILC survey,"People, Work & Living Conditions"
Median of the housing cost burden distribution by sex - EU-SILC survey,"People, Work & Living Conditions"
Median saving rate by activity status of the reference person - experimental statistics,"People, Work & Living Conditions"
Median saving rate by degree of urbanisation - experimental statistics,"People, Work & Living Conditions"
Median saving rate by household type - experimental statistics,"People, Work & Living Conditions"
Median saving rate by income quintile - experimental statistics,"People, Work & Living Conditions"
Median saving rate by the self-declared level of difficulty to make ends meet - experimental statistics,"People, Work & Living Conditions"
Minimum wages,"People, Work & Living Conditions"
Modal shift potential of long-distance road freight in containers - tonne,Transports
Modal shift potential of long-distance road freight in containers - tonne-kilometre,Transports
"Modal split of air, sea and inland freight transport",Transports
"Modal split of air, sea and inland passenger transport",Transports
Modal split of inland freight transport,Transports
Money market interest rates,Money & Markets
Money market interest rates - annual data,Money & Markets
Money supply and official reserves,Money & Markets
"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions"
"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions"
"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L","People, Work & Living Conditions"
"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O","People, Work & Living Conditions"
Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 1.1,"People, Work & Living Conditions"
Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 2 (from onwards),"People, Work & Living Conditions"
"Motor coaches, buses and trolley buses, by type of vehicle",Transports
Motorcycles by engine size,Transports
Multinational enterprise groups in EU-EFTA countries by controlling country - experimental statistics,Money & Markets
"Multinational enterprise groups in EU-EFTA countries by controlling country, size class and NACE Rev.2 activity - experimental statistics",Money & Markets
Municipal waste,Environment & Natural Resources and Production
Municipal waste generated,Environment & Natural Resources and Production
Municipal waste per inhabitant,Environment & Natural Resources and Production
National civil servants in central public administration,"People, Work & Living Conditions"
National expenditure on environmental protection,Environment & Natural Resources and Production
National passenger road transport performance by type of vehicles registered in the reporting country,Transports
National road freight transport by region of loading (NUTS 3) and type of goods (t) - annual data (from onwards),Transports
National road freight transport by region of unloading (NUTS 3) and type of goods (t) - annual data (from onwards),Transports
Natura protected areas,Environment & Natural Resources and Production
Natural gas import dependency by country of origin,Environment & Natural Resources and Production
"Navigable inland waterways, by horizontal dimensions of vessels and pushed convoys",Transports
Net Lending/Borrowing (current and capital account) - annual data,Money & Markets
Net enrolment rates by sex and education level,Learning & Education
"Net external debt - annual data, % of GDP",Money & Markets
"Net external debt - quarterly data, % of GDP",Money & Markets
Net international investment position - annual data,Money & Markets
"Net international investment position - quarterly data, % of GDP",Money & Markets
Net international investment position excluding non-defaultable instruments - % of GDP,Money & Markets
"Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2, I, 55.1) (from onwards)",Living Well
"Net occupancy rate of bed-places and bedrooms in hotels and similar accommodations (NACE Rev. 2, I, 55.1) - monthly data",Living Well
Net social protection benefits,"People, Work & Living Conditions"
Net trade balance of energy products - % of GDP,Money & Markets
New lorries by alternative motor energy and load capacity of +/- 1500 kg (until,Transports
"New motor coaches, buses and trolley buses , by type of vehicles",Transports
"New motor coaches, buses and trolley buses by type of motor energy (until",Transports
"New passenger cars, motor coaches, buses and trolley buses by alternative motor energy (until",Transports
New road tractors by type of motor energy (until,Transports
New mopeds and motorcycles by type of motor energy,Transports
New motorcycles by engine size,Transports
"New semi-trailers and their load capacity, by permissible maximum gross weight",Transports
New special purpose road vehicles,Transports
New trailers and their load capacity (until,Transports
"New trailers and their load capacity, by permissible maximum gross weight",Transports
New trams,Transports
Newly employed,"People, Work & Living Conditions"
Nights spent at tourism accommodation establishments,Living Well
Nights spent at tourist accommodation establishments by country/world region of residence of the tourist,Living Well
Nights spent at tourist accommodation establishments by residents/non-residents,Living Well
Nights spent at tourist accommodation establishments by residents/non-residents - monthly data,Living Well
Nights spent by type of accommodation,Living Well
Nitrate in groundwater,Environment & Natural Resources and Production
"Nitrogen dioxide concentrations in European capital cities - monthly averages, experimental statistics",Environment & Natural Resources and Production
Nominal labour productivity per person employed,"People, Work & Living Conditions"
Nominal effective exchange rate – 42 trading partners,Money & Markets
Nominal effective exchange rate – euro area trading partners,Money & Markets
Nominal unit labour cost growth,"People, Work & Living Conditions"
Nominal unit labour cost per hour worked - 3 years % change,"People, Work & Living Conditions"
"Nominal unit labour cost per hour worked - annual data, % changes and index = 100)","People, Work & Living Conditions"
Non-autonomous pension funds,Money & Markets
Non-financial accounts for institutions,Money & Markets
"Non-financial corporations debt - consolidated, % of GDP",Money & Markets
Non-household consumption volumes of electricity by consumption bands,Environment & Natural Resources and Production
Non-household consumption volumes of gas by consumption bands,Environment & Natural Resources and Production
"Non-residents among all hospital discharges, %",Health & Safety
Number and length of district networks by type of network and efficiency of network,Transports
Number of accidents at work by NACE Rev. 1.1 activity and employment status,Health & Safety
Number of accidents at work by NACE Rev. 1.1 activity and severity,Health & Safety
Number of accidents at work by NACE Rev. 1.1 activity and size of enterprise,Health & Safety
Number of accidents at work by part of body injured and severity,Health & Safety
Number of accounts linked to CPA categories,Money & Markets
Number of airports,Transports
Number of bed places in hotels and similar accommodation,Living Well
Number of bed places in hotels and similar accomodation,Living Well
Number of bed-places,Living Well
Number of bovine animals,Environment & Natural Resources and Production
Number of branches in non-EEA countries,Money & Markets
Number of compulsory schooling years,Learning & Education
Number of dairy cows,Environment & Natural Resources and Production
Number of enterprises carrying out cross border trade by employment size class,Money & Markets
Number of enterprises carrying out cross border trade by reasons for cross border trade and employment size class,Money & Markets
Number of enterprises carrying out cross border trade by type of cross border trade and employment size class,Money & Markets
Number of establishments and bed-places,Living Well
Number of known species,Environment & Natural Resources and Production
Number of loans and advances to customers linked to CPA categories,Money & Markets
Number of pigs,Environment & Natural Resources and Production
Number of principal ports,Money & Markets
Number of railway vehicles per type,Transports
Number of sheep,Environment & Natural Resources and Production
Number of ships of 1000 grt and over by type,Transports
Number of ships of 300 grt and over,Transports
"Number of work-related health problems by diagnosis group, sex and number of complaints per victim",Health & Safety
"Oats and spring cereal mixtures by area, production and humidity",Environment & Natural Resources and Production
Obesity rate by body mass index (BMI),Health & Safety
Occupants by type of housing,"People, Work & Living Conditions"
"Occupied conventional dwellings by households, by number of rooms","People, Work & Living Conditions"
Occupied conventional dwellings by number of rooms,"People, Work & Living Conditions"
Occupied conventional dwellings by presence of comfort characteristics,"People, Work & Living Conditions"
Occupied conventional dwellings by tenure status and amenities,"People, Work & Living Conditions"
Occupied conventional dwellings by tenure status and period of construction,"People, Work & Living Conditions"
Official development assistance as share of gross national income,Money & Markets
Oil pipeline enterprises,Environment & Natural Resources and Production
Old-age-dependency ratio,"People, Work & Living Conditions"
Olive trees - Area by age and density classes (area in ha),Environment & Natural Resources and Production
Olive trees - Area by age classes (area in ha),Environment & Natural Resources and Production
Olive trees - Area by density classes (area in ha),Environment & Natural Resources and Production
Olives by production,Environment & Natural Resources and Production
Organic production of animal products (until,Environment & Natural Resources and Production
Organic production of aquaculture products,Environment & Natural Resources and Production
Other expenditure on social protection,"People, Work & Living Conditions"
"Other investment - annual data, million units of national currency",Money & Markets
Out-of-pocket expenditure on healthcare,Health & Safety
Out-of-school rate by sex and age - as % of the population of the corresponding age,Learning & Education
"Out-of-school rate in population of lower secondary school age, by sex",Learning & Education
"Out-of-school rate in population of upper secondary school age, by sex",Learning & Education
Output of the agricultural industry - basic and producer prices,Money & Markets
Outward FDI stocks in % of GDP,Money & Markets
Overall employment growth,"People, Work & Living Conditions"
"Overall life satisfaction by sex, age and educational attainment",Living Well
Overcrowding rate by age group - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by age group - population without single-person households - EU-SILC survey,"People, Work & Living Conditions"
"Overcrowding rate by age, sex and poverty status - total population - EU-SILC survey","People, Work & Living Conditions"
Overcrowding rate by degree of urbanisation - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by degree of urbanisation - total population - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by household type - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by poverty status - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by poverty status - population without single-person households - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by sex - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by sex - population without single-person households - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by tenure status - EU-SILC survey,"People, Work & Living Conditions"
Overcrowding rate by tenure status - total population - EU-SILC survey,"People, Work & Living Conditions"
Parents educational attainment level,Learning & Education
Parents spending enough time with children living with them,"People, Work & Living Conditions"
Part-time employment rate,"People, Work & Living Conditions"
Participants in CVT courses by sex and size class - % of persons employed in all enterprises,Learning & Education
Participants in CVT courses by sex and size class - % of persons employed in enterprises providing CVT courses,Learning & Education
Participation in any learning activities by degree of urbanisation,Learning & Education
Participation in any learning activities by size of the local unit,Learning & Education
Participation in formal education by degree of urbanisation,Learning & Education
Participation in informal learning by degree of urbanisation,Learning & Education
Participation in job-related non-formal education and training by size of the local unit,Learning & Education
Participation in non-formal education and training by degree of urbanisation,Learning & Education
Participation in non-formal education and training by main reason for participating in the taught activity,Learning & Education
Participation in non-formal education and training by number of activities,Learning & Education
Participation in non-formal education and training within (or not) paid working hours,Learning & Education
Participation/ enrolment in education (ISCED 0-4),Learning & Education
Participation in any learning activities by NACE Rev. 1.1 activity,Money & Markets
Participation in tourism for personal purposes - % of total population,Living Well
"Participation rate in education and training (last 4 weeks) by sex, age and educational attainment level",Learning & Education
Passenger cars,Transports
Passenger cars - per thousand inhabitants,Transports
"Passenger cars in accompanied passenger car railway transport, by type of transport",Transports
Passenger railway vehicles by category of vehicle (until,Transports
"Passenger railway vehicles, by type of vehicle",Transports
Passenger road transport,Transports
Passenger air transport over national territory (including territorial sea) - million passenger-km,Transports
Passenger cars by age,Transports
Passenger cars by alternative motor energy (until,Transports
Passenger cars by unloaded weight,Transports
Passenger train traffic performance by type of train speed,Transports
Passengers (excluding cruise passengers) transported from/to the main ports,Transports
Passengers (excluding cruise passengers) transported from/to the main ports - - quarterly data,Transports
Passengers embarked and disembarked (excluding cruises) in all ports by direction,Transports
Passengers embarked and disembarked in the top 20 ports,Transports
"Passengers in accompanied passenger car railway transport, by type of transport",Transports
Passengers transported,Transports
Passengers transported by type of train speed,Transports
Patent applications to the European Patent Office by applicants' / inventors' country of residence,Tech & Innovation
Patents related to recycling and secondary raw materials,Tech & Innovation
People at risk of poverty after social transfer,"People, Work & Living Conditions"
People at risk of poverty or social exclusion,"People, Work & Living Conditions"
People at risk of poverty or social exclusion by age,"People, Work & Living Conditions"
People at risk of poverty or social exclusion by sex,"People, Work & Living Conditions"
People at risk of poverty or social exclusion by NUTS 2 regions,"People, Work & Living Conditions"
"People having a long-standing illness or health problem, by sex, age and income quintile",Health & Safety
People living in households with very low work intensity,"People, Work & Living Conditions"
People living in households with very low work intensity by NUTS 2 regions (population aged 0 to 59 years),"People, Work & Living Conditions"
People living in households with very low work intensity by sex,"People, Work & Living Conditions"
Perceived independence of the justice system,Living Well
Percentage change (compared to corresponding period of the previous year) in nights spent at tourist accommodation establishments by residents/non-residents - monthly data,Living Well
Percentage change of value added by ICT sector at current prices,Money & Markets
Percentage distribution of assistance needed by not employed disabled people by sex,"People, Work & Living Conditions"
Percentage distribution of assistance provided to employed disabled people by sex,"People, Work & Living Conditions"
Percentage distribution of types of assistance needed by not employed disabled people by sex,"People, Work & Living Conditions"
Percentage distribution of types of assistance provided to employed disabled people by sex,"People, Work & Living Conditions"
"Percentage of employed adults working at home by sex, age groups, number of children and age of youngest child","People, Work & Living Conditions"
Percentage of households having internet access at home,Tech & Innovation
Percentage of the ICT personnel in total employment,Money & Markets
Percentage of the ICT personnel on total employment,Money & Markets
Percentage of the ICT sector in Gross value added,Money & Markets
"Percentage of the population with at least upper secondary educational attainment, age group 25-64",Learning & Education
Percentage of threatened species,Environment & Natural Resources and Production
Perception of ever-working women as victims/non-victims of sexual harassment at work by commonness of harassment,Health & Safety
Perception of women as victims/non-victims of intimate partner violence by commonness of this violence against women,Health & Safety
"Performing (non-work-related) physical activities by sex, age and educational attainment level",Living Well
Permanent crops for human consumption by area,Environment & Natural Resources and Production
Persistent at-risk-of poverty rate by age group - EU-SILC survey,"People, Work & Living Conditions"
Persistent at-risk-of poverty rate by sex - EU-SILC survey,"People, Work & Living Conditions"
Persistent at-risk-of-poverty rate by sex and age - EU-SILC and ECHP surveys,"People, Work & Living Conditions"
Persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation,"People, Work & Living Conditions"
Persons having experienced housing difficulties in their life by sex and group of country of birth,"People, Work & Living Conditions"
Persons having experienced housing difficulties in their life by sex and group of current country of citizenship,"People, Work & Living Conditions"
Persons having experienced housing difficulties in their life by sex and type of temporary solution (effect),"People, Work & Living Conditions"
Persons having overcome housing difficulties experienced in their life by sex and reason,"People, Work & Living Conditions"
"Persons participating in any cultural or sport activities in the last 12 months by sex, age and educational attainment","People, Work & Living Conditions"
"Persons participating in cultural or sport activities by sex, age, level of disability (activity limitation), activity type and frequency","People, Work & Living Conditions"
"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency","People, Work & Living Conditions"
"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation","People, Work & Living Conditions"
"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment","People, Work & Living Conditions"
"Persons participating in formal/informal voluntary activities or active citizenship by sex, age, level of disability (activity limitation) and activity type","People, Work & Living Conditions"
Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,"People, Work & Living Conditions"
Persons at risk of monetary poverty after social transfers by citizenship,"People, Work & Living Conditions"
Persons at risk of poverty or social exclusion,"People, Work & Living Conditions"
Persons at risk of poverty or social exclusion - EU2030 target,"People, Work & Living Conditions"
Persons at risk of poverty or social exclusion by NUTS regions,"People, Work & Living Conditions"
Persons at risk of poverty or social exclusion by NUTS regions - strategy,"People, Work & Living Conditions"
Persons at risk of poverty or social exclusion by age and sex,"People, Work & Living Conditions"
Persons at risk of poverty or social exclusion by degree of urbanisation,"People, Work & Living Conditions"
Persons at risk of poverty or social exclusion by tenure status,"People, Work & Living Conditions"
Persons at risk of poverty or social exclusion by tenure status - strategy,"People, Work & Living Conditions"
"Persons being happy in the last 4 weeks by sex, age, educational attainment and frequency",Living Well
Persons brought before criminal courts by legal status of the court process,Health & Safety
Persons eligible to vote in the European Parliament elections by category of voters - dedicated data collection,"People, Work & Living Conditions"
Persons employed in aviation and airport enterprises by sex,Transports
Persons employed in goods road transport enterprises by employment size classes,Transports
Persons employed in goods road transport enterprises by sex,Transports
Persons employed in main airports by sex,Transports
Persons employed in oil pipeline enterprises by sex,Transports
Persons employed in principal railway enterprises by sex (until,Transports
Persons employed in circular economy sectors,"People, Work & Living Conditions"
Persons employed in multinational enterprise groups by size class - experimental statistics,Money & Markets
Persons employed part-time -,"People, Work & Living Conditions"
"Persons feeling left out from society by sex, age and level of disability (activity limitation)",Health & Safety
"Persons getting together with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency","People, Work & Living Conditions"
"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency","People, Work & Living Conditions"
"Persons having someone to ask for help by sex, age and educational attainment","People, Work & Living Conditions"
"Persons having someone to discuss personal matters by sex, age and educational attainment","People, Work & Living Conditions"
Persons involved in trafficking in human beings by legal status and sex,Health & Safety
Persons killed in road accidents,Health & Safety
Persons killed in road accidents by type of road,Health & Safety
Persons living in households with very low work intensity by NUTS regions (population aged 0 to 64 years),"People, Work & Living Conditions"
Persons living in households with very low work intensity by age and sex (population aged 0 to 64 years),"People, Work & Living Conditions"
Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 64 years) - strategy,"People, Work & Living Conditions"
"Persons living in households with very low work intensity, by age group","People, Work & Living Conditions"
Persons living with their parents or contributing/benefiting from the household income (population aged 18 to 34 years),"People, Work & Living Conditions"
"Persons not participating in active citizenship by sex, age and level of disability (activity limitation)",Living Well
"Persons not participating in cultural or sport activities in the last 12 months by income quintile, household composition, degree of urbanisation, activity type and reasons",Living Well
"Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons",Living Well
"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by income quintile, household composition, degree of urbanisation and reasons",Living Well
"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by sex, age, educational attainment and reasons",Living Well
"Persons not reading books in the last 12 months by sex, age, level of disability (activity limitation) and reasons",Learning & Education
Persons outside the labour force due to caring responsibilities by sex,"People, Work & Living Conditions"
Persons owning real estate other than main residence by income quantile,"People, Work & Living Conditions"
Persons owning real estate other than main residence by risk of poverty threshold,"People, Work & Living Conditions"
Persons participating in tourism for personal purposes - number of tourists,Living Well
"Persons practicing artistic activities by sex, age, educational attainment and frequency",Living Well
"Persons rating their life satisfaction as high, medium or low by sex, age, educational attainment and domain",Living Well
"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books","People, Work & Living Conditions"
"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books","People, Work & Living Conditions"
Persons reading newspapers in the last 12 months by sex,"People, Work & Living Conditions"
Persons receiving benefits (other than old age benefits) by risk of poverty and work intensity of the household (population aged 18-64),"People, Work & Living Conditions"
Persons reporting a road traffic accident,Health & Safety
"Persons reporting an accident at work by sex, age and professional status",Health & Safety
"Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization","People, Work & Living Conditions"
"Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level","People, Work & Living Conditions"
"Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile","People, Work & Living Conditions"
"Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold","People, Work & Living Conditions"
Persons subject of asylum applications pending at the end of the month - monthly data,"People, Work & Living Conditions"
"Persons subject of asylum applications pending at the end of the month by citizenship, age and sex - monthly data","People, Work & Living Conditions"
Persons subject to immigration law enforcement - per thousand persons,Health & Safety
"Persons who receive a pension, by type of pension (%)","People, Work & Living Conditions"
Persons who reduced their working hours in a move towards retirement (%),"People, Work & Living Conditions"
Persons with loans for education purposes by risk of poverty threshold,"People, Work & Living Conditions"
Persons with loans for property purposes by risk of poverty threshold,"People, Work & Living Conditions"
"Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold","People, Work & Living Conditions"
Persons with loans for transport purposes by risk of poverty threshold,"People, Work & Living Conditions"
Persons with loans to cover daily living expenses by risk of poverty threshold,"People, Work & Living Conditions"
"Persons working as creative and performing artists, authors, journalists and linguists",Living Well
Pesticide sales by categorisation of active substances,Environment & Natural Resources and Production
Phosphate in rivers,Environment & Natural Resources and Production
Physical and sexual violence to women by age group data),Health & Safety
Police officers,Health & Safety
Police-recorded offences by offence category,Health & Safety
"Population by educational attainment level, sex and age (%) - main indicators","People, Work & Living Conditions"
Population density,"People, Work & Living Conditions"
Population density by metropolitan regions,"People, Work & Living Conditions"
Population aged 20-24 who completed at least an upper secondary educational attainment level (ISCED level 3) by sex,Learning & Education
Population aged 25 and over by sex and educational attainment level,Learning & Education
Population aged 30-34 who completed tertiary or equivalent education,Learning & Education
Population aged 30-34 with tertiary educational attainment level by sex,Learning & Education
"Population, aged 15-74 - labour force survey","People, Work & Living Conditions"
Population as a percentage of EU27 (from population,"People, Work & Living Conditions"
Population change - Demographic balance and crude rates at regional level (NUTS 3),"People, Work & Living Conditions"
"Population change - crude rates of total change, natural change and net migration plus adjustment","People, Work & Living Conditions"
Population connected to Wastewater Treatment,Environment & Natural Resources and Production
Population connected to at least secondary wastewater treatment,Environment & Natural Resources and Production
Population connected to public water supply,Environment & Natural Resources and Production
Population connected to wastewater collection and treatment systems,Environment & Natural Resources and Production
Population covered by the Covenant of Mayors for Climate & Energy signatories,Environment & Natural Resources and Production
"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status","People, Work & Living Conditions"
Population in jobless households,"People, Work & Living Conditions"
"Population living in households considering that they suffer from noise, by poverty status","People, Work & Living Conditions"
Population on 1 January,"People, Work & Living Conditions"
Population on 1 January by sex and by age group,"People, Work & Living Conditions"
"Population reporting occurrence of crime, violence or vandalism in their area by poverty status",Health & Safety
Population served by municipal waste,Environment & Natural Resources and Production
Population structure by detailed age group,"People, Work & Living Conditions"
Population structure by sex,"People, Work & Living Conditions"
Population structure indicators by NUTS 3 region,"People, Work & Living Conditions"
Population unable to keep home adequately warm by poverty status,"People, Work & Living Conditions"
Population with confidence in institutions by institution,Money & Markets
Population without the citizenship of the reporting country,"People, Work & Living Conditions"
"population, Candidate countries and potential candidates","People, Work & Living Conditions"
"Portfolio investement - annual data, million units of national currency",Money & Markets
Positions held by women in senior management positions,"People, Work & Living Conditions"
Positive first instance decisions - per thousand persons,"People, Work & Living Conditions"
Poultry farming,Environment & Natural Resources and Production
Poverty headcount ratio by sex: proportion of persons below the national poverty line,"People, Work & Living Conditions"
Poverty ratio,"People, Work & Living Conditions"
Poverty lines,"People, Work & Living Conditions"
Power of self-propelled vessels by load capacity,Transports
Practising dentists,Health & Safety
Practising physicians,Health & Safety
Premature deaths due to exposure to fine particulate matter (PM2.5),Health & Safety
Preventive cancer screenings - programme data,Health & Safety
Price and volume convergence between Member States,Money & Markets
Price indices of agricultural input/output at nominal value = 100),Money & Markets
Prices (annual series),Money & Markets
Primary energy consumption,Environment & Natural Resources and Production
Primary energy production,Environment & Natural Resources and Production
Prison capacity and number of persons held,Health & Safety
Prison population,Health & Safety
Prisoners by citizenship,Health & Safety
Prisoners by legal status of the trial process,Health & Safety
Private households by type of housing,"People, Work & Living Conditions"
Private investment and gross added value related to circular economy sectors,Money & Markets
"Private sector credit flow, consolidated - % GDP",Money & Markets
"Private sector credit flow, non-consolidated",Money & Markets
"Private sector credit flow: debt securities by sectors, consolidated - % of GDP",Money & Markets
"Private sector credit flow: debt securities by sectors, consolidated - million units of national currency",Money & Markets
"Private sector credit flow: debt securities by sectors, non-consolidated - % of GDP",Money & Markets
"Private sector credit flow: debt securities by sectors, non-consolidated - million units of national currency",Money & Markets
"Private sector credit flow: loans by sectors, consolidated - % of GDP",Money & Markets
"Private sector credit flow: loans by sectors, consolidated - million units of national currency",Money & Markets
"Private sector credit flow: loans by sectors, non-consolidated - % of GDP",Money & Markets
"Private sector credit flow: loans by sectors, non-consolidated - million units of national currency",Money & Markets
"Private sector debt, consolidated - % of GDP",Money & Markets
"Private sector debt, non-consolidated",Money & Markets
"Private sector debt: debt securities by sectors, non-consolidated - % of GDP",Money & Markets
"Private sector debt: debt securities by sectors, non-consolidated - million units of national currency",Money & Markets
"Private sector debt: debt securities, by sectors, consolidated - % of GDP",Money & Markets
"Private sector debt: debt securities, by sectors, consolidated - million units of national currency",Money & Markets
