"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                        Key farm variables"	"reg_ef_kv"	"folder"	" "	" "	" "	" "	
"                            Key farm variables: area, livestock (LSU), labour force and standard output (SO) by agricultural size of farm (UAA), legal status of holding and NUTS 2 region"	"ef_kvaareg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	225156
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by economic size of farm (SO in Euro), legal status of holding and NUTS 2 region"	"ef_kvecsleg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	291750
"                            Key variables: area, livestock (LSU), labour force and standard output (SO) by type of farming (2-digit) and NUTS 2 region"	"ef_kvftreg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	215199
"                        Farm land use - Permanent crops, other farmland, irrigation"	"reg_ef_po"	"folder"	" "	" "	" "	" "	
"                            Irrigation: number of farms, areas and equipment by size of irrigated area and NUTS 2 region"	"ef_poirrig"	"dataset"	"19.04.2018"	"10.01.2024"	"2005"	"2013"	209805
"                        Overview - farm livestock"	"reg_ef_ols"	"folder"	" "	" "	" "	" "	
"                            Livestock: number of farms and heads of animals of different types by agricultural size of farm (UAA) and NUTS 2 region"	"ef_olsaareg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	594155
"                            Livestock: number of farms and heads of animals by livestock units (LSU) of farm and NUTS 2 region"	"ef_olslsureg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	589321
"                        Farm labour force and management"	"reg_ef_molf"	"folder"	" "	" "	" "	" "	
"                            Labour force: number of persons and farm work (AWU) by sex of workers and NUTS 2 region"	"ef_olfreg"	"dataset"	"16.01.2017"	"10.01.2024"	"2005"	"2013"	38800
"                            Organic farming: number of farms, areas with different crops and heads of different types of animals by agricultural size of farm (UAA) and NUTS 2 region (2003-2013)"	"ef_mporganic"	"dataset"	"16.01.2017"	"10.01.2024"	"2003"	"2013"	319965
"                    Structure of agricultural holdings - historical data (1990-2007)"	"reg_ef_h"	"folder"	" "	" "	" "	" "	
"                        Overview of agricultural holdings"	"reg_ef_ov"	"folder"	" "	" "	" "	" "	
"                            Key variables by legal status of holding, size of farm (UAA) and NUTS 2 region"	"ef_ov_kvaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	250844
"                            Key variables by type of farming (2-digit) and NUTS 2 region"	"ef_ov_kvftreg"	"dataset"	"27.03.2009"	"21.12.2023"	"2000"	"2007"	133474
"                        Land use"	"reg_ef_lu"	"folder"	" "	" "	" "	" "	
"                            Farmland: number of farms and areas by size of farm (UAA) and NUTS 2 region"	"ef_lu_ovcropaa"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	1969784
"                            Farmland: number of farms and areas by economic size of farm (ESU) and NUTS 2 region"	"ef_lu_ovcropesu"	"dataset"	"27.03.2009"	"21.12.2023"	"1990"	"2007"	1959788
