code,type,breadcrumb
mar_tp_sss,dataset,Database by themes > Transport > Maritime transport > Maritime transport performance > Maritime goods short-sea shipping performed in the Exclusive Economic Zone (EEZ) of the countries
sprt_emp_sex,dataset,Database by themes > Population and social conditions > Sport > Employment in sport > Employed persons in sport by sex
tin00175,table,"Database by themes > Industry, trade and services > Tourism > Tourism industries - annual data > Occupancy of tourist accommodation establishments > Nights spent by domestic and international tourists > Nights spent at tourist accommodation establishments > Nights spent at tourist accommodation establishments by residents/non-residents"
ilc_mdes03$dv_2702,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Material deprivation > Economic strain > Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day"
enps_bop_iip6,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Economy and finance > Deficit/surplus and debt > Gross external debt of the whole economy - ENP-South countries
cei_pc031,table,Cross cutting topics > Tables on EU policy > Circular economy indicators > Production and consumption > Generation of municipal waste per capita
prc_colc_surf,dataset,Database by themes > Economy and finance > Prices > Correction coefficients > Typical dwelling sizes by type of dwelling in each surveyed city
rail_tf_ns20_sk,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2020) > Train traffic on the rail network - Slovakia (2020)
icw_sr_16,dataset,"Database by themes > Population and social conditions > Income, consumption and wealth - experimental statistics > Saving rates > Aggregate propensity to consume by activity status of the reference person - experimental statistics"
bop_its_str,dataset,"Database by themes > Economy and finance > Balance of payments - International transactions > International trade in services, geographical breakdown - historical data > International trade in services - market integration indicators - historical data (1992-2013)"
prc_hpi_hsna,dataset,"Database by themes > Economy and finance > Prices > Housing price and sales statistics > House price and sales index > House sales - number and index, annual data"
bs_bs14_04,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Business services statistics > Business Services (2004-2020) > Income from intellectual property rights for computer services (2004)"
crim_thb_sex$dv_1641,dataset,Database by themes > Population and social conditions > Crime and criminal justice > Trafficking in human beings > Persons involved in trafficking in human beings by legal status and sex
hlth_ehis_pe2e$dv_1144,dataset,"Database by themes > Population and social conditions > Health > Health determinants > Physical activity > Time spent on health-enhancing (non-work-related) aerobic physical activity by sex, age and educational attainment level"
sdg_08_20,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 8 - Decent work and economic growth > Young persons neither in employment nor in education and training (NEET) by sex
earn_ses_pub2s,dataset,"Database by themes > Population and social conditions > Labour market > Earnings > Structure of earnings survey - main indicators > Low-wage earners and median earnings > Median hourly earnings > Median hourly earnings, all employees (excluding apprentices) by sex"
hlth_sha11_hf$dv_2821,dataset,Database by themes > Population and social conditions > Health > Health care > Health care expenditure (SHA 2011) > Health care expenditure - summary tables > Health care expenditure by financing scheme
rail_pa_nbpass,dataset,"Database by themes > Transport > Railway transport > Railway transport measurement - passengers > Railway transport measurement - passengers - historical data > Passengers in accompanied passenger car railway transport, by type of transport (1979-2012)"
nama_10_pp,dataset,Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > GDP and components > Gross national income (GNI) per capita
enps_tour_cap_nat,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Tourism > Tourism infrastructure - ENP-South countries
tag00054,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Economic accounts for agriculture > Economic accounts for agriculture > Economic accounts for agriculture - values at current prices > Crop output - basic and producer prices"
tipspc13,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Private sector credit flow > Non-consolidated data > Private sector credit flow: debt securities by sectors, non-consolidated - % of GDP"
prc_colc_tot,dataset,Database by themes > Economy and finance > Prices > Correction coefficients > Correction coefficients in the European Union (Duty stations) - index (Brussels = 100)
tran_im_mosp,dataset,"Database by themes > Transport > Modal split, intermodal transport and transport performance relative to GDP > Intermodal transport - unitisation in freight transport > Modal shift potential of long-distance road freight in containers - tonne-kilometre"
tran_im_uroad,dataset,"Database by themes > Transport > Modal split, intermodal transport and transport performance relative to GDP > Intermodal transport - unitisation in freight transport > Unitisation in road freight transport - tonne-kilometre for gross weight of goods"
tag00053,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Crop production > Crop production > Crop production in EU standard humidity (from 2000 onwards) > Crop production in EU standard humidity > Oats and spring cereal mixtures by area, production and humidity"
gbv_ipv_type,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by intimate partner during lifetime > Ever-partnered women who have experienced violence by an intimate partner, by type of violence"
tipslm10,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > MIP Scoreboard indicators > Nominal unit labour cost per hour worked
teiis013,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Industry - import prices > Import prices - intermediate goods"
cei_gsr011,table,Database by themes > Environment and energy > Environment > Emissions of greenhouse gases and air pollutants > Air emissions accounts > Air emissions accounts by NACE Rev. 2 activity > Greenhouse gases emissions from production activities
tespm060,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social protection performance monitor - indicators > At risk-of-poverty rate for the population living in (quasi-)jobless households
rail_tf_ns10_tr,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2010) > Train traffic on the rail network - Türkiye (2010)
tag00125,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Farm structure > Farm structural indicators > Age structure of farm managers > Agricultural holdings by age of manager"
sprt_pcs_qnt,dataset,Database by themes > Population and social conditions > Sport > Private households expenditure on sport > Mean consumption expenditure of private households on sporting goods and services by income quintile
mar_pa_qm_mt,dataset,"Database by themes > Transport > Maritime transport > Maritime transport - passengers - detailed annual and quarterly results > Detailed tables per each reporting country by direction, partner entity and nationality of registration of vessels - quarterly data > Passengers (excluding cruise passengers) transported from/to the main ports - Malta - quarterly data"
tipsna62,table,"Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > Population and employment in national accounts > Employment by main industry (NACE Rev.2) - national accounts - annual data > Employees, domestic concept - annual data"
cult_pcs_nws,dataset,Database by themes > Population and social conditions > Culture > Cultural participation > Participation in cultural activities - AES historical data > Persons reading newspapers in the last 12 months by sex (2007 and 2011)
cens_01ndbuild,dataset,"Database by themes > Population and social conditions > Population and housing censuses > Census 2001 round > National level > Dwellings > Dwellings by type of ownership, type of building and occupancy status"
tipsbp17,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Current account balance and balance of payments > Annual data > Annual data > Capital account - annual data
iww_tf_vetf,dataset,Database by themes > Transport > Inland waterways transport > Inland waterways transport measurement - goods > Inland waterways transport measurement - goods - annual data > Vessel traffic
ilc_lvho05c,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Housing conditions > Overcrowding rate > Overcrowding rate by tenure status - total population
isoc_bde15ap,dataset,"Database by themes > Science, technology, digital society > Digital economy and society > ICT sector > Percentage of the ICT sector personnel in total employment"
irt_h_cgby_q,dataset,Database by themes > Economy and finance > Interest rates > Interest rates - historical data > Central government bond yields > Central government bond yields - quarterly data
mar_qg_qm_ewhd,dataset,"Database by themes > Transport > Maritime transport > Maritime transport - main quarterly results > EU level - gross weight of goods handled in main ports, by direction"
tipspc23,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Private sector credit flow > Consolidated data > Private sector credit flow: debt securities by sectors, consolidated - % of GDP"
tipsna60,table,"Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > Population and employment in national accounts > Employment by main industry (NACE Rev.2) - national accounts - annual data > Employment, domestic concept - annual data"
icw_pov_03,dataset,"Database by themes > Population and social conditions > Income, consumption and wealth - experimental statistics > Poverty > Proportion of dissaving households - experimental statistics"
tipsun20,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > MIP Scoreboard indicators > Unemployment rate - annual data
tin00092,table,"Database by themes > Science, technology, digital society > Digital economy and society > ICT usage in households and by individuals > Internet use > Individuals - frequency of internet use > Individuals frequently using the internet"
ten00003,table,Database by themes > Environment and energy > Environment > Water > Water statistics on national level > Annual freshwater abstraction by source and sector > Fresh water abstraction by source per capita - m³ per capita
mar_qg_qm_pwhl,dataset,Database by themes > Transport > Maritime transport > Maritime transport - main quarterly results > Top 5 ports for liquid bulk - gross weight of liquid bulk goods handled in each port
tran_hv_frtra,dataset,"Database by themes > Transport > Modal split, intermodal transport and transport performance relative to GDP > Index of inland transport performance per GDP unit > Volume of freight transport relative to GDP"
tipsbd40,dataset,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Consolidated banking data > Return on equity of banks
mar_mg_am_cvh,dataset,"Database by themes > Transport > Maritime transport > Maritime transport - main annual results > Country level - volume (in TEUs) of containers handled in main ports, by loading status"
migr_eirtn$dv_1241,dataset,Database by themes > Population and social conditions > Migration > Managed migration > Enforcement of Immigration Legislation > Third country nationals returned following an order to leave - annual data (rounded)
tipspd13,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Private sector debt > Non-consolidated data > Private sector debt: debt securities by sectors, non-consolidated - % of GDP"
lfsa_ipga$dv_610,dataset,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) series - detailed annual data > Persons outside the labour force > Persons outside the labour force - % of total population in private households
sdg_11_52,table,Database by themes > Population and social conditions > Health > Causes of death > Public health themes > Health impacts of air pollution > Premature deaths due to exposure to fine particulate matter (PM2.5)
teiis521,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Construction > Labour input in construction"
tsc00025,table,"Database by themes > Science, technology, digital society > Science and technology > Human resources and education in science & technology > Stocks of HRST > Stocks of HRST - national data > Human resources in science and technology (HRST) by category, sex and age > Human resources in science and technology (HRST)"
enps_tour_occ_ninat,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Tourism > Nights spent at tourism accommodation establishments - ENP-South countries
trng_nfe2,dataset,Database by themes > Population and social conditions > Education and training > Education and training - historical data > Adult learning - historical data > Lifelong learning - LFS ad-hoc module 2003 > ----- > Participation in non-formal education and training by number of activities (2003)
iss_stat,dataset,"Database by themes > Industry, trade and services > Globalisation in business statistics > Global value chains and international sourcing statistics > International sourcing statistics (2002-2020) - experimental statistics > International sourcing statistics - survey 2007 - experimental statistics > Background Information - collection round 2007 > Enterprises by sourcing status and enterprise group identification - collection round 2007 - experimental statistics"
prc_hicp_cow,dataset,Database by themes > Economy and finance > Prices > Harmonised index of consumer prices (HICP) > Harmonised index of consumer prices (HICP) - ECOICOP ver.1 > ----- > HICP - country weights (1996-2025)
ilc_lvhd06,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Housing difficulties (2023) > Persons having overcome housing difficulties experienced in their lifetime by sex and reason
apri_lrnt_h,dataset,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Agricultural prices and price indices > Land prices and rents > Agricultural land renting prices for one year by region - historical data (until 2009)"
hsw_ij_svnia,dataset,"Database by themes > Population and social conditions > Health > Health and safety at work > Work related health problems and accidental injuries - LFS 1999 > Accidental injuries > Relative incidence rate of accidental injuries at work by severity, frequency of night work and age (EU mean rate = 100 for each severity)"
nrg_ind_id3cf,dataset,"Database by themes > Environment and energy > Energy > Energy statistics - quantities > Energy statistics - quantities, annual data > Energy indicators > Import dependency on third countries by fuel type"
rail_tf_ns20_el,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2020) > Train traffic on the rail network - Greece (2020)
gbv_npv_perp,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by non-partner since the age of 15 > Women who have experienced violence by a non-partner, by type of perpetrator"
icw_sr_09,dataset,"Database by themes > Population and social conditions > Income, consumption and wealth - experimental statistics > Saving rates > Aggregate propensity to consume by household type - experimental statistics"
icw_sr_15,dataset,"Database by themes > Population and social conditions > Income, consumption and wealth - experimental statistics > Saving rates > Median saving rate by activity status of the reference person - experimental statistics"
ilc_lvhl11n$dv_1181,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Health and labour conditions > Persons living in households with very low work intensity by age and sex (population aged 0 to 64 years)
nama_10r_3gdp$dv_1562,dataset,Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional economic accounts > Gross domestic product indicators > Gross domestic product (GDP) at current market prices by NUTS 3 region
sdg_13_70,dataset,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 13 - Climate action > Green bond issuance by type of issuer
tet00011,table,"Database by themes > International trade > International trade in goods > International trade in goods - aggregated data > International trade in goods - long-term indicators > EU trade by Member State, partner and product group > Intra and Extra-EU trade by Member State and by product group > Intra-EU27 (from 2020) trade, by Member State, total product"
sdg_03_60,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 1 - No poverty > Self-reported unmet need for medical examination and care by sex
nrg_dhdc_e,dataset,"Database by themes > Environment and energy > Energy > Energy statistics - quantities > Energy statistics - quantities, annual data > Energy infrastructure and capacities > District heating and district cooling (DH-DC) > Energy removed from district networks by customers, type of networks and efficiency of network"
tag00001,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Farm structure > Farm structural indicators > Farms by utilised agricultural area > Agricultural holdings by agricultural area"
sdg_16_20,table,"Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 11 - Sustainable cities and communities > Population reporting occurrence of crime, violence or vandalism in their area by poverty status"
tus_00travel,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Time use survey > Time use survey – 2000 and 2010 > Time spent on travelling by mode of transport (2000 and 2010)
tps00044,table,Database by themes > Population and social conditions > Health > Health care > Health care resources > Health care resources - historical data > Health personnel (excluding nursing and caring professionals) - historical data (1980-2021) > Practising physicians
avia_ec_enterp,dataset,Database by themes > Transport > Air transport > Air transport - enterprises and persons employed > Aviation and airport enterprises (2001-2013)
teicp240,table,"Database by themes > Economy and finance > Prices > Harmonised index of consumer prices (HICP) > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data > HICP - all items excluding tobacco"
tipsgo10,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > MIP Scoreboard indicators > General government gross debt (EDP concept), consolidated - annual data"
ilc_odbt08,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Over-indebtedness, consumption and wealth as well as labour (2020) > Persons with loans to cover daily living expenses by risk of poverty threshold"
migr_resfpc,dataset,Database by themes > Population and social conditions > Migration > Managed migration > Managed migration indicators > Residence permits indicators > First residence permits by reasons - % of total first residence permits
enpe_educ_uoe_enra02,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Population and social conditions > Education > Participation in education > Pupils and students enrolled by education level - ENP-East countries
tps00066,table,Database by themes > Population and social conditions > Education and training > Education and training outcomes > Educational attainment level > Educational attainment and labour force participation > Unemployment rates by educational attainment level > Unemployment rates (persons aged 25-64) by educational attainment level
tag00068,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Agricultural prices and price indices > Selling prices of agricultural products (absolute prices) > Selling prices of animal products (absolute prices) - annual price (from 2000 onwards) > Selling prices of chickens (live 1st choice)"
iss_21gvcsa,dataset,"Database by themes > Industry, trade and services > Globalisation in business statistics > Global value chains and international sourcing statistics > International sourcing statistics (2002-2020) - experimental statistics > Global value chains and international sourcing statistics - survey 2021 - experimental statistics > Global value chains arrangements > Enterprises by type of supplier power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics"
educ_uoe_enra07,dataset,Database by themes > Population and social conditions > Education and training > Participation in education and training > Pupils and students - enrolments > All education levels > Expected school years of pupils and students by education level
enps_tour_border,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Tourism > Arrivals of tourists at the border - ENP-South countries
orch_olives3,dataset,Database by themes > General and regional statistics > Other sub-national statistics > Orchard statistics by production region > Olive trees - Area by age and density classes (area in ha)
educ_uoe_enra06,dataset,Database by themes > Population and social conditions > Education and training > Participation in education and training > Pupils and students - enrolments > All education levels > Pupils and students in education aged 30 and over - per 1000 of corresponding age population
teina500,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > National accounts > Quarterly sector accounts > Household saving rate
tipspd10,table,"Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > GDP and components > Gross domestic product (GDP) and main components (output, expenditure and income) - annual data > Private sector debt, non-consolidated"
rail_tf_ns20_ee,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2020) > Train traffic on the rail network - Estonia (2020)
migr_reslas$dv_1283,dataset,"Database by themes > Population and social conditions > Migration > Managed migration > Residence permits > Residence permits by reason, age, sex and citizenship > Long-term residents by age, sex and citizenship on 31 December of each year"
lfsa_ewpsun$dv_607,dataset,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) series - detailed annual data > Work during atypical hours > Employed persons working on Sundays by professional status - % of total employment
lfst_dpw_10,dataset,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) series - specific topics > Digital platform employment - experimental statistics > Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics
tps00128,table,"Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Causes of death > Causes of death - standardised death rate by NUTS 2 region of residence > Death due to pneumonia, by sex"
egi_em2,dataset,Cross cutting topics > Cross cutting topics > Economic globalisation indicators > Employment > Employment in Foreign Affiliates of Domestic Enterprises
ilc_scp22$dv_2441,dataset,"Database by themes > General and regional statistics > Degree of urbanisation > Living conditions and welfare > EU-SILC ad-hoc modules > Social and cultural participation (2015) > Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by income quintile, household composition, degree of urbanisation and reasons"
lfst_dpw_01,dataset,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) series - specific topics > Digital platform employment - experimental statistics > Share of digital platform workers (in the last 12 months) by educational attainment level - experimental statistics
tipslc30,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Poverty and social exclusion > Severely materially and socially deprived people
rail_tf_ns_li,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2005) > Train traffic on the rail network - Liechtenstein (2005)
tipspc10,table,"Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > GDP and components > Gross domestic product (GDP) and main components (output, expenditure and income) - annual data > Private sector credit flow, non-consolidated"
demo_popep,dataset,"Database by themes > Population and social conditions > Demography, population stock and balance > Population (national level) > Persons eligible to vote in the 2024 European Parliament elections by category of voters - dedicated data collection"
ilc_lvho50c,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Housing conditions > Under-occupied dwellings > Share of people living in under-occupied dwellings by tenure status - total population
cult_pcs_qnt,dataset,Database by themes > Population and social conditions > Culture > Private households expenditure on culture > Mean consumption expenditure of private households on cultural goods and services by income quintile
yth_demo_030,dataset,Cross cutting topics > Cross cutting topics > Children and youth > Children and youth contextual indicators > Estimated average age of young persons leaving the parental household
teicp100,table,"Database by themes > Economy and finance > Prices > Harmonised index of consumer prices (HICP) > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data > HICP - education"
tran_sf_railsu,dataset,Database by themes > Transport > Transport safety > Rail transport safety > Suicides involving railways
tps00202,table,Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Causes of death > Causes of death - crude death rate by NUTS 2 region of residence > Suicide death rate by age group
mar_sg_am_cv,dataset,"Database by themes > Transport > Maritime transport > Maritime transport - short sea shipping - main annual results > Short sea shipping - country level - volume (in TEUs) of containers transported to/from main ports, by loading status"
tipspc14,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Private sector credit flow > Non-consolidated data > Private sector credit flow: debt securities by sectors, non-consolidated - million units of national currency"
sdg_02_10,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 2 - Zero hunger > Obesity rate by body mass index (BMI)
road_eqr_spurp,dataset,Database by themes > Transport > Road transport > Road transport equipment - new registration of vehicles > New special purpose road vehicles
migr_resltra$dv_1284,dataset,"Database by themes > Population and social conditions > Migration > Managed migration > Residence permits > Residence permits by reason, age, sex and citizenship > Long-term residence permits issued during the year by age, sex and citizenship"
icw_car_01,dataset,"Database by themes > Population and social conditions > Income, consumption and wealth - experimental statistics > Household characteristics > Distribution of households by age of the reference person - experimental statistics"
sbs_cre_ploans,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Financial services statistics > Statistics on credit institutions > Number of loans and advances to customers linked to CPA categories (1997-2001)"
gbv_any_frq,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by any perpetrator during adulthood > Women who have experienced violence by any perpetrator, by type and frequency of violence"
tec00040,table,"Database by themes > Economy and finance > Balance of payments - International transactions (BPM6) > Balance of payments statistics and international investment positions (BPM6) > Balance of payments by country - annual data (BPM6) > Current account transactions - services: credits, debits and balance"
env_waspb,dataset,Database by themes > Environment and energy > Environment > Waste > Waste streams > Sales and collection of portable batteries and accumulators
isoc_ci_ac_i$dv_1043,dataset,Database by themes > General and regional statistics > Degree of urbanisation > Digital economy and society > ICT usage in households and by individuals > Internet use > Individuals - internet activities
ilc_lvhd02,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Housing difficulties (2023) > Persons having experienced housing difficulties in their lifetime by sex and type of temporary solution (effect)
tipsst10,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Research and development > Gross domestic expenditure on research and development (R&D)
tps00205,table,"Database by themes > Population and social conditions > Demography, population stock and balance > Mortality (national level) > Life expectancy by age and sex > Life expectancy at birth by sex"
educ_fiaid,dataset,Database by themes > Population and social conditions > Education and training > Education and training - historical data > Education-administrative data (ISCED1997) - historical data > Indicators on education finance > Financial aid to students (1995-2011)
tin00196,table,"Database by themes > Industry, trade and services > Tourism > Trips of EU residents - annual data > Expenditure on tourism trips > Expenditure by duration, purpose, main destination of the trip and expenditure category > Average expenditure per night"
sbs_cre_pintpay,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Financial services statistics > Statistics on credit institutions > Interests payable and similar charges by product (1997-2001)"
enps_gov_10dd,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Economy and finance > Deficit/surplus and debt > Government deficit/surplus and debt - ENP-South countries
tps00178,table,"Cross cutting topics > Cross cutting topics > Equality and non-discrimination > Demography > Population by age, sex, country of birth and migration status > Population on 1 January by age group, sex and country of birth > Foreign-born population"
sdg_09_40,table,"Database by themes > Science, technology, digital society > Science and technology > Intellectual property rights - Patents > Patent applications to the EPO by country of applicants and inventors (2004 and onwards) > Patent applications to the European Patent Office by applicants' / inventors' country of residence"
rail_tf_ns10_pt,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2010) > Train traffic on the rail network - Portugal (2010)
tag00115,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Crop production > Crop production > Crop production in EU standard humidity (from 2000 onwards) > Crop production in EU standard humidity > Fresh vegetables and strawberries by area"
tessi160,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Social inclusion portfolio > Secondary indicators > Housing cost overburden > Housing cost overburden rate by sex - EU-SILC survey
cei_pc035,table,Database by themes > Environment and energy > Environment > Waste > Waste streams > Food waste and food waste prevention by NACE Rev. 2 activity - tonnes of fresh mass > Food waste
tipser11,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Effective exchange rates > Nominal effective exchange rate - 42 trading partners
rail_tf_ns20_dk,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2020) > Train traffic on the rail network - Denmark (2020)
tessi302,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Social inclusion portfolio > Context information > Median of the housing cost burden distribution by poverty status - EU-SILC survey
enps_demo_dens,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Population and social conditions > Population and demographic indicators > Population > Population density - ENP-South countries
tipsbp20,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Current account balance and balance of payments > Annual data > Current account > Current account balance - annual data
tin00180,table,"Database by themes > Industry, trade and services > Tourism > Tourism industries - annual data > Occupancy of tourist accommodation establishments > Occupancy rates for hotels and similar accommodation > Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2 activity I55.1) by size class > Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2, I, 55.1) (from 2012 onwards)"
enps_mar_frdir,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Transport > Maritime transport > Gross weight of goods handled in all ports by direction - ENP-South countries
ilc_hch19$dv_2264,dataset,"Database by themes > Population and social conditions > Disability > Disability prevalence > Difficulties in functioning in basic actions > Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold"
cei_pc030,table,Cross cutting topics > Tables on EU policy > Circular economy indicators > Production and consumption > Resource productivity
env_waspcb,dataset,Database by themes > Environment and energy > Environment > Waste > Waste streams > Consumption of lightweight plastic carrier bags by their wall thickness
ilc_scp15$dv_433,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Social and cultural participation (2015 and 2022) > Persons having someone to ask for help by sex, age and educational attainment"
ilc_mdho06q,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Material deprivation > Housing deprivation > Severe housing deprivation rate by income quintile
tran_im_mospt,dataset,"Database by themes > Transport > Modal split, intermodal transport and transport performance relative to GDP > Intermodal transport - unitisation in freight transport > Modal shift potential of long-distance road freight in containers - tonne"
rail_tf_ns_lt,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2005) > Train traffic on the rail network - Lithuania (2005)
tipslm13,table,"Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > GDP and components > Gross domestic product (GDP) and main components (output, expenditure and income) - annual data > Compensation of employees - annual data, million units of national currency"
ilc_mdho02c,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Material deprivation > Housing deprivation > Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling"
lfst_hheredch$dv_2683,dataset,"Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) series - specific topics > Private households > Employment by household characteristics > --- > Employment rate of adults by educational attainment level, number of children and age of youngest child"
teina205,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > National accounts > Public finance - excessive deficit procedure statistics > General government deficit (-) and surplus (+) - quarterly data
ttr00007,table,Database by themes > Transport > Inland waterways transport > Inland waterways transport measurement - goods > Inland waterways transport measurement - goods - annual data > Transport by type of vessel > Goods transport by inland waterways
tag00060,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Agricultural prices and price indices > Selling prices of agricultural products (absolute prices) > Selling prices of crop products (absolute prices) - annual price (2000-2024) > Selling prices of barley"
